id_persona	id_parlant	nom_public	n_mostres	mostres_id	font_principal	estat_font
pa-001	spk-002	Albert Gelabert Grau	1	pa-001	Consell General — #ConsellConstituent	registre de font; agrupació nominal exacta
pa-003	spk-053	Roser Bastida	1	pa-003	RTVA — Els primers 30	registre de font; agrupació nominal exacta
pa-002	spk-026	Jordi Farràs Forné	1	pa-002	Consell General — #ConsellConstituent	registre de font; agrupació nominal exacta
pa-004	spk-019	Francina Pons	1	pa-004	Càpsula #11 — «Les moles de farina d'Andorra», per Francina Pons	registre de font; agrupació nominal exacta
pa-005	spk-036	Ludmilla Lacueva	1	pa-005	Càpsula #13 — «Els hostals comunals», per Ludmilla Lacueva	registre de font; agrupació nominal exacta
pa-006	spk-001	Alan Ward	1	pa-006	Càpsula #20 — «Els molins d'aigua d'Andorra», per Alan Ward	registre de font; agrupació nominal exacta
pa-007	spk-005	Alfred Llahí	1	pa-007	Càpsula #27 — «Els noms dels carrers andorrans», per Alfred Llahí	registre de font; agrupació nominal exacta
pa-008	spk-003	Albert Roig	1	pa-008	Càpsula #34 — «Les falles d'Andorra», per Albert Roig	registre de font; agrupació nominal exacta
pa-009	spk-050	Robert Lizarte	1	pa-009	Càpsula #40 — «Les campanes d'Andorra», per Robert Lizarte	registre de font; agrupació nominal exacta
pa-010	spk-059	Xavier Planas	1	pa-010	Càpsula #45 — «Toponímia preromana a Andorra», per Xavier Planas	registre de font; agrupació nominal exacta
pa-011	spk-017	Esther Jover	1	pa-011	Càpsula #49 — «Cal Pal de la Cortinada», per Esther Jover	registre de font; agrupació nominal exacta
pa-012	spk-004	Albert Rossa Naudí	1	pa-012	Càpsula #56 — «La vida a pagès», per Albert Rossa Naudí	registre de font; agrupació nominal exacta
pa-013	spk-055	Ruth Casabella	1	pa-013	Càpsula #57 — «Un racó d'Escaldes-Engordany», per Ruth Casabella	registre de font; agrupació nominal exacta
pa-014	spk-057	Teo Armengol	1	pa-014	Càpsula #66 — «La dansa tradicional d'Andorra: el contrapàs», per Teo Armengol	registre de font; agrupació nominal exacta
pa-015	spk-056	Sara Ubach	1	pa-015	Càpsula #70 — «La nissaga dels Martí de les Bons», per Sara Ubach	registre de font; agrupació nominal exacta
pa-016	spk-044	Olga Adellach Coma	1	pa-016	Testimoni del Consell Constituent — Olga Adellach Coma	registre de font; agrupació nominal exacta
pa-017	spk-043	Nadia Aleix Tugas	2	pa-017,pa-059	Testimoni del Consell Constituent — Nadia Aleix Tugas	registre de font; agrupació nominal exacta
pa-018	spk-039	Miquel Aleix Areny	2	pa-018,pa-058	Testimoni del Consell Constituent — Miquel Aleix Areny	registre de font; agrupació nominal exacta
pa-019	spk-046	Pere Altimir Pintat	1	pa-019	Testimoni del Consell Constituent — Pere Altimir Pintat	registre de font; agrupació nominal exacta
pa-020	spk-022	Guillem Areny Argelich	1	pa-020	Testimoni del Consell Constituent — Guillem Areny Argelich	registre de font; agrupació nominal exacta
pa-021	spk-031	Josep Areny Fité	1	pa-021	Testimoni del Consell Constituent — Josep Areny Fité	registre de font; agrupació nominal exacta
pa-022	spk-040	Miquel Armengol Pons	1	pa-022	Testimoni del Consell Constituent — Miquel Armengol Pons	registre de font; agrupació nominal exacta
pa-023	spk-008	Antoni Armengol Vila	2	pa-023,pa-060	Testimoni del Consell Constituent — Antoni Armengol Vila	registre de font; agrupació nominal exacta
pa-024	spk-035	Ladislau Baró Solà	1	pa-024	Testimoni del Consell Constituent — Ladislau Baró Solà	registre de font; agrupació nominal exacta
pa-025	spk-024	Jaume Bartumeu Cassany	1	pa-025	Testimoni del Consell Constituent — Jaume Bartumeu Cassany	registre de font; agrupació nominal exacta
pa-026	spk-048	Ramon Canut Bové	2	pa-026,pa-055	Testimoni del Consell Constituent — Ramon Canut Bové	registre de font; agrupació nominal exacta
pa-027	spk-015	Enric Casadevall Medrano	1	pa-027	Testimoni del Consell Constituent — Enric Casadevall Medrano	registre de font; agrupació nominal exacta
pa-028	spk-049	Robert Cassany Vila	1	pa-028	Testimoni del Consell Constituent — Robert Cassany Vila	registre de font; agrupació nominal exacta
pa-029	spk-020	Gabriel Dallerès Codina	2	pa-029,pa-057	Testimoni del Consell Constituent — Gabriel Dallerès Codina	registre de font; agrupació nominal exacta
pa-030	spk-016	Enric Dolsa Font	2	pa-030,pa-056	Testimoni del Consell Constituent — Enric Dolsa Font	registre de font; agrupació nominal exacta
pa-031	spk-033	Josep Garrallà Rossell	1	pa-031	Testimoni del Consell Constituent — Josep Garrallà Rossell	registre de font; agrupació nominal exacta
pa-032	spk-006	Andreu Gaspà Picart	1	pa-032	Testimoni del Consell Constituent — Andreu Gaspà Picart	registre de font; agrupació nominal exacta
pa-033	spk-009	Antoni Jordi Areny	1	pa-033	Testimoni del Consell Constituent — Antoni Jordi Areny	registre de font; agrupació nominal exacta
pa-034	spk-051	Rosa Maria Mandicó Alcobé	1	pa-034	Testimoni del Consell Constituent — Rosa Maria Mandicó Alcobé	registre de font; agrupació nominal exacta
pa-035	spk-034	Josep Marsal Riba	1	pa-035	Testimoni del Consell Constituent — Josep Marsal Riba	registre de font; agrupació nominal exacta
pa-036	spk-028	Jordi Mas Torres	1	pa-036	Testimoni del Consell Constituent — Jordi Mas Torres	registre de font; agrupació nominal exacta
pa-037	spk-041	Miquel Naudi Casal	1	pa-037	Testimoni del Consell Constituent — Miquel Naudi Casal	registre de font; agrupació nominal exacta
pa-038	spk-037	Maria Reig Moles	1	pa-038	Testimoni del Consell Constituent — Maria Reig Moles	registre de font; agrupació nominal exacta
pa-039	spk-025	Joan Santamaria Terré	1	pa-039	Testimoni del Consell Constituent — Joan Santamaria Terré	registre de font; agrupació nominal exacta
pa-040	spk-029	Jordi Torres Alís	1	pa-040	Testimoni del Consell Constituent — Jordi Torres Alís	registre de font; agrupació nominal exacta
pa-041	spk-038	Mercè Segura	1	pa-041	Els primers 30: entrevista Mercè Segura	registre de font; agrupació nominal exacta
pa-042	spk-013	Cielo	1	pa-042	Els primers 30: entrevista Cielo, cuinera de l’Escola Andorrana	registre de font; agrupació nominal exacta
pa-043	spk-023	Irene Clua	1	pa-043	Els primers 30: entrevista Irene Clua	registre de font; agrupació nominal exacta
pa-044	spk-012	Casimir Arajol	1	pa-044	IDENTITATS: CASIMIR ARAJOL	registre de font; agrupació nominal exacta
pa-045	spk-018	Eudald Guillamet	1	pa-045	IDENTITATS: EUDALD GUILLAMET	registre de font; agrupació nominal exacta
pa-046	spk-030	Josep Areny	1	pa-046	IDENTITATS: JOSEP ARENY	registre de font; agrupació nominal exacta
pa-047	spk-021	Gualbert Osorio	1	pa-047	IDENTITATS: GUALBERT OSORIO	registre de font; agrupació nominal exacta
pa-048	spk-010	Antoni Morell	1	pa-048	IDENTITATS: ANTONI MORELL	registre de font; agrupació nominal exacta
pa-049	spk-007	Angelina Mas	1	pa-049	IDENTITATS: ANGELINA MAS	registre de font; agrupació nominal exacta
pa-050	spk-060	Àngels Mach	1	pa-050	IDENTITATS: ÀNGELS MACH	registre de font; agrupació nominal exacta
pa-051	spk-032	Josep Casal	1	pa-051	Vides de muntanya — Ramaderia d'alçada (AE_0033)	registre de font; agrupació nominal exacta
pa-052	spk-052	Rosa Vidal	1	pa-052	Vides de muntanya — Ramaderia d'alçada (AE_0017)	registre de font; agrupació nominal exacta
pa-053	spk-047	Pere Torres	1	pa-053	Vides de muntanya — Ramaderia d'alçada (AE_0011)	registre de font; agrupació nominal exacta
pa-054	spk-058	Trini Mandicó Baró	1	pa-054	Vides de dones (AE_0029)	registre de font; agrupació nominal exacta
pa-055	spk-048	Ramon Canut Bové	2	pa-026,pa-055	#ConsellConstituent - Ramon Canut Bové	registre de font; agrupació nominal exacta
pa-056	spk-016	Enric Dolsa Font	2	pa-030,pa-056	#ConsellConstituent - Enric Dolsa Font	registre de font; agrupació nominal exacta
pa-057	spk-020	Gabriel Dallerès Codina	2	pa-029,pa-057	#ConsellConstituent - Gabriel Dallerès Codina	registre de font; agrupació nominal exacta
