forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
bé	pa-004	analitzada-provisional-contextual	320.36-321.84	319.61-322.59	319.32-321.32	sí	0.082	0.601	alta	sí	0.2292	307.26	clips/pa-004__b__319.61.wav	pendent				9
de fet	pa-004	analitzada-provisional-contextual	601.92-606.60	601.17-607.35	603.56-612.84	sí	0.068	0.121	alta	sí	0.2292	307.26	clips/pa-004__de-fet__601.17.wav	pendent				9
doncs	pa-004	analitzada-provisional-contextual	416.96-422.56	416.21-423.31	417.04-422.76	sí	0.044	0.052	alta	sí	0.2292	307.26	clips/pa-004__doncs__416.21.wav	pendent				9
evidentment	pa-004	analitzada-provisional-contextual	523.68-527.40	522.93-528.15	523.84-527.40	sí	0.082	0.077	alta	sí	0.2292	307.26	clips/pa-004__evidentment__522.93.wav	pendent				9
perquè	pa-004	analitzada-provisional-contextual	464.84-470.64	464.09-471.39	468.00-471.96	sí	0.038	0.116	alta	sí	0.2292	307.26	clips/pa-004__perqu__464.09.wav	pendent				9
vull dir	pa-004	analitzada-provisional-contextual	144.20-149.84	143.45-150.59	141.88-147.88	sí	0.051	0.086	alta	sí	0.2292	307.26	clips/pa-004__vull-dir__143.45.wav	pendent				9
bé	pa-005	analitzada-provisional-contextual	51.84-55.32	51.09-56.07	51.80-55.36	sí	0.121	0.114	alta	sí	0.0405	217.35	clips/pa-005__b__51.09.wav	pendent				9
clar	pa-005	analitzada-provisional-contextual	156.68-159.24	155.93-159.99	157.68-164.68	sí	0.063	0.104	alta	sí	0.0405	217.35	clips/pa-005__clar__155.93.wav	pendent				9
doncs	pa-005	analitzada-provisional-contextual	71.88-76.36	71.13-77.11	71.52-75.88	sí	0.052	0.086	alta	sí	0.0405	217.35	clips/pa-005__doncs__71.13.wav	pendent				9
o sigui	pa-005	analitzada-provisional-contextual	374.08-379.20	373.33-379.95	376.88-378.88	sí	0.057	0.073	alta	sí	0.0405	217.35	clips/pa-005__o-sigui__373.33.wav	pendent				9
aleshores	pa-006	analitzada-provisional-contextual	514.00-518.00	513.25-518.75	513.38-518.38	sí	0.527	0.238	alta	sí	0.5268	152.82	clips/pa-006__aleshores__513.25.wav	pendent				9
bé	pa-006	analitzada-provisional-contextual	152.00-159.00	151.25-159.75	154.68-158.84	sí	0.193	0.238	alta	sí	0.5268	152.82	clips/pa-006__b__151.25.wav	pendent				9
de fet	pa-006	analitzada-provisional-contextual	286.00-291.00	285.25-291.75	285.92-290.52	sí	0.416	0.301	alta	sí	0.5268	152.82	clips/pa-006__de-fet__285.25.wav	pendent				9
doncs	pa-006	analitzada-provisional-contextual	181.00-187.00	180.25-187.75	181.36-187.28	sí	0.212	0.077	alta	sí	0.5268	152.82	clips/pa-006__doncs__180.25.wav	pendent				9
evidentment	pa-006	analitzada-provisional-contextual	125.00-131.00	124.25-131.75	126.12-128.92	sí	0.064	0.181	alta	sí	0.5268	152.82	clips/pa-006__evidentment__124.25.wav	pendent				9
o sigui	pa-006	analitzada-provisional-contextual	137.00-143.00	136.25-143.75	136.96-140.92	sí	0.212	0.142	alta	sí	0.5268	152.82	clips/pa-006__o-sigui__136.25.wav	pendent				9
perquè	pa-006	analitzada-provisional-contextual	111.00-117.00	110.25-117.75	113.12-116.72	sí	0.187	0.135	alta	sí	0.5268	152.82	clips/pa-006__perqu__110.25.wav	pendent				9
a veure	pa-007	analitzada-provisional-contextual	90.00-96.00	89.25-96.75	88.24-92.24	sí	0.318	0.403	alta	sí	0.5486	244.38	clips/pa-007__a-veure__89.25.wav	pendent				9
clar	pa-007	analitzada-provisional-contextual	345.00-349.00	344.25-349.75	345.12-351.44	sí	0.549	0.117	alta	sí	0.5486	244.38	clips/pa-007__clar__344.25.wav	pendent				9
diguem	pa-007	analitzada-provisional-contextual	586.00-591.00	585.25-591.75	582.70-587.70	sí	0.342	0.107	alta	sí	0.5486	244.38	clips/pa-007__diguem__585.25.wav	pendent				9
doncs	pa-007	analitzada-provisional-contextual	60.00-66.00	59.25-66.75	59.72-65.24	sí	0.256	0.042	alta	sí	0.5486	244.38	clips/pa-007__doncs__59.25.wav	pendent				9
evidentment	pa-007	analitzada-provisional-contextual	779.00-783.00	778.25-783.75	777.82-782.82	sí	0.546	0.245	alta	sí	0.5486	244.38	clips/pa-007__evidentment__778.25.wav	pendent				9
perquè	pa-007	analitzada-provisional-contextual	102.00-107.00	101.25-107.75	102.24-104.24	sí	0.240	0.263	alta	sí	0.5486	244.38	clips/pa-007__perqu__101.25.wav	pendent				9
és a dir	pa-007	analitzada-provisional-contextual	685.00-687.00	684.25-687.75	684.90-687.50	sí	0.258	0.299	alta	sí	0.5486	244.38	clips/pa-007__s-a-dir__684.25.wav	pendent				9
a veure	pa-008	analitzada-provisional-contextual	669.00-673.00	668.25-673.75	669.32-672.76	sí	0.454	0.066	alta	sí	0.4359	175.86	clips/pa-008__a-veure__668.25.wav	pendent				9
bé	pa-008	analitzada-provisional-contextual	62.00-65.00	61.25-65.75	63.08-64.88	sí	0.111	0.116	alta	sí	0.4359	175.86	clips/pa-008__b__61.25.wav	pendent				9
clar	pa-008	analitzada-provisional-contextual	842.00-846.00	841.25-846.75	841.48-846.48	sí	0.394	0.189	alta	sí	0.4359	175.86	clips/pa-008__clar__841.25.wav	pendent				9
de fet	pa-008	analitzada-provisional-contextual	800.00-804.00	799.25-804.75	797.42-802.42	sí	0.468	0.099	alta	sí	0.4359	175.86	clips/pa-008__de-fet__799.25.wav	pendent				9
diguem	pa-008	analitzada-provisional-contextual	375.00-379.00	374.25-379.75	375.12-382.56	sí	0.267	0.051	alta	sí	0.4359	175.86	clips/pa-008__diguem__374.25.wav	pendent				9
