prioritat_global	score_evidencia	categoria	forma	id_persona	interval_escolta	clip	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	estat_audicio
7	9	A-triple-consens	bé	pa-007	59.25-66.75	clips/pa-007__b__59.25.wav	sí	sí	sí	0.688	0.042	pendent
7	9	A-triple-consens	llavors	pa-007	657.25-663.75	clips/pa-007__llavors__657.25.wav	sí	sí	sí	0.592	0.088	pendent
7	9	A-triple-consens	crec	pa-010	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	sí	sí	sí	0.695	0.070	pendent
7	9	A-triple-consens	vull dir	pa-041	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	sí	sí	sí	0.742	0.118	pendent
9	9	A-triple-consens	bé	pa-004	319.61-322.59	clips/pa-004__b__319.61.wav	sí	sí	sí	0.082	0.601	pendent
9	9	A-triple-consens	de fet	pa-004	601.17-607.35	clips/pa-004__de-fet__601.17.wav	sí	sí	sí	0.068	0.121	pendent
9	9	A-triple-consens	evidentment	pa-004	522.93-528.15	clips/pa-004__evidentment__522.93.wav	sí	sí	sí	0.082	0.077	pendent
9	9	A-triple-consens	perquè	pa-004	464.09-471.39	clips/pa-004__perqu__464.09.wav	sí	sí	sí	0.038	0.116	pendent
9	9	A-triple-consens	vull dir	pa-004	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	sí	sí	sí	0.051	0.086	pendent
9	9	A-triple-consens	bé	pa-005	51.09-56.07	clips/pa-005__b__51.09.wav	sí	sí	sí	0.121	0.114	pendent
9	9	A-triple-consens	doncs	pa-005	71.13-77.11	clips/pa-005__doncs__71.13.wav	sí	sí	sí	0.052	0.086	pendent
9	9	A-triple-consens	o sigui	pa-005	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	sí	sí	sí	0.057	0.073	pendent
9	9	A-triple-consens	aleshores	pa-006	513.25-518.75	clips/pa-006__aleshores__513.25.wav	sí	sí	sí	0.527	0.238	pendent
9	9	A-triple-consens	bé	pa-006	151.25-159.75	clips/pa-006__b__151.25.wav	sí	sí	sí	0.193	0.238	pendent
9	9	A-triple-consens	de fet	pa-006	285.25-291.75	clips/pa-006__de-fet__285.25.wav	sí	sí	sí	0.416	0.301	pendent
9	9	A-triple-consens	doncs	pa-006	180.25-187.75	clips/pa-006__doncs__180.25.wav	sí	sí	sí	0.212	0.077	pendent
9	9	A-triple-consens	o sigui	pa-006	136.25-143.75	clips/pa-006__o-sigui__136.25.wav	sí	sí	sí	0.212	0.142	pendent
9	9	A-triple-consens	perquè	pa-006	110.25-117.75	clips/pa-006__perqu__110.25.wav	sí	sí	sí	0.187	0.135	pendent
9	9	A-triple-consens	a veure	pa-007	89.25-96.75	clips/pa-007__a-veure__89.25.wav	sí	sí	sí	0.318	0.403	pendent
9	9	A-triple-consens	clar	pa-007	344.25-349.75	clips/pa-007__clar__344.25.wav	sí	sí	sí	0.549	0.117	pendent
9	9	A-triple-consens	diguem	pa-007	585.25-591.75	clips/pa-007__diguem__585.25.wav	sí	sí	sí	0.342	0.107	pendent
9	9	A-triple-consens	doncs	pa-007	59.25-66.75	clips/pa-007__doncs__59.25.wav	sí	sí	sí	0.256	0.042	pendent
9	9	A-triple-consens	evidentment	pa-007	778.25-783.75	clips/pa-007__evidentment__778.25.wav	sí	sí	sí	0.546	0.245	pendent
9	9	A-triple-consens	perquè	pa-007	101.25-107.75	clips/pa-007__perqu__101.25.wav	sí	sí	sí	0.240	0.263	pendent
9	9	A-triple-consens	és a dir	pa-007	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	sí	sí	sí	0.258	0.299	pendent
9	9	A-triple-consens	a veure	pa-008	668.25-673.75	clips/pa-008__a-veure__668.25.wav	sí	sí	sí	0.454	0.066	pendent
9	9	A-triple-consens	bé	pa-008	61.25-65.75	clips/pa-008__b__61.25.wav	sí	sí	sí	0.111	0.116	pendent
9	9	A-triple-consens	clar	pa-008	841.25-846.75	clips/pa-008__clar__841.25.wav	sí	sí	sí	0.394	0.189	pendent
9	9	A-triple-consens	de fet	pa-008	799.25-804.75	clips/pa-008__de-fet__799.25.wav	sí	sí	sí	0.468	0.099	pendent
9	9	A-triple-consens	és a dir	pa-008	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	sí	sí	sí	0.325	0.074	pendent
