forma	prioritat	n_parlants	n_ocurrencies	prob_median	prob_min	parlants	estat
perquè	A-molts-parlants	54	54	0.6143	0.0227	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-031,pa-032,pa-033,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-062,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
bé	A-molts-parlants	36	41	0.8685	0.2875	pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-019,pa-020,pa-026,pa-028,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-039,pa-041,pa-045,pa-046,pa-048,pa-049,pa-057,pa-061,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
crec	A-molts-parlants	34	34	0.9861	0.0886	pa-001,pa-002,pa-003,pa-010,pa-014,pa-016,pa-018,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-031,pa-034,pa-035,pa-037,pa-038,pa-039,pa-040,pa-041,pa-043,pa-048,pa-049,pa-051,pa-056,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
clar	A-molts-parlants	32	33	0.6773	0.0737	pa-002,pa-003,pa-006,pa-007,pa-008,pa-009,pa-010,pa-014,pa-016,pa-017,pa-019,pa-020,pa-022,pa-024,pa-025,pa-027,pa-028,pa-031,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-045,pa-049,pa-052,pa-056,pa-059,pa-063,pa-064,pa-065	tokenització small; pendent d'audició
evidentment	A-molts-parlants	28	28	0.7668	0.0340	pa-001,pa-002,pa-003,pa-004,pa-007,pa-009,pa-011,pa-014,pa-016,pa-017,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-036,pa-039,pa-040,pa-041,pa-045,pa-049,pa-055,pa-056,pa-059,pa-061,pa-066	tokenització small; pendent d'audició
a veure	A-molts-parlants	25	26	0.6286	0.0287	pa-002,pa-007,pa-008,pa-011,pa-014,pa-016,pa-021,pa-022,pa-023,pa-025,pa-026,pa-030,pa-031,pa-034,pa-036,pa-041,pa-045,pa-048,pa-049,pa-055,pa-056,pa-060,pa-061,pa-063,pa-064	tokenització small; pendent d'audició
llavors	B-cobertura-o-confiança	28	28	0.4052	0.0183	pa-001,pa-002,pa-005,pa-007,pa-010,pa-015,pa-016,pa-017,pa-018,pa-019,pa-023,pa-028,pa-030,pa-033,pa-037,pa-038,pa-045,pa-046,pa-048,pa-049,pa-053,pa-054,pa-056,pa-057,pa-060,pa-061,pa-063,pa-066	tokenització small; pendent d'audició
doncs	B-cobertura-o-confiança	27	28	0.5343	0.0158	pa-005,pa-006,pa-007,pa-009,pa-010,pa-011,pa-013,pa-015,pa-016,pa-017,pa-020,pa-021,pa-028,pa-030,pa-031,pa-032,pa-035,pa-036,pa-037,pa-038,pa-045,pa-046,pa-048,pa-056,pa-060,pa-063,pa-065	tokenització small; pendent d'audició
és a dir	B-cobertura-o-confiança	25	26	0.3361	0.0165	pa-003,pa-007,pa-008,pa-010,pa-011,pa-013,pa-016,pa-017,pa-021,pa-022,pa-023,pa-027,pa-030,pa-033,pa-034,pa-035,pa-043,pa-046,pa-048,pa-058,pa-059,pa-060,pa-062,pa-064,pa-065	tokenització small; pendent d'audició
vull dir	B-cobertura-o-confiança	24	25	0.5121	0.0089	pa-004,pa-014,pa-016,pa-017,pa-021,pa-022,pa-023,pa-026,pa-030,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-048,pa-049,pa-055,pa-056,pa-058,pa-059,pa-060,pa-061,pa-063	tokenització small; pendent d'audició
a nivell	B-cobertura-o-confiança	23	24	0.7507	0.2023	pa-002,pa-003,pa-016,pa-017,pa-019,pa-020,pa-023,pa-024,pa-026,pa-029,pa-034,pa-036,pa-038,pa-045,pa-048,pa-055,pa-057,pa-059,pa-060,pa-061,pa-063,pa-065,pa-066	tokenització small; pendent d'audició
o sigui	B-cobertura-o-confiança	21	21	0.2516	0.0180	pa-005,pa-006,pa-009,pa-014,pa-016,pa-022,pa-025,pa-026,pa-029,pa-030,pa-038,pa-045,pa-048,pa-049,pa-055,pa-057,pa-061,pa-062,pa-063,pa-064,pa-065	tokenització small; pendent d'audició
tirar endavant	B-cobertura-o-confiança	11	11	0.8976	0.2057	pa-003,pa-017,pa-029,pa-030,pa-031,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059	tokenització small; pendent d'audició
de fet	C-cobertura-limitada	19	19	0.6882	0.2345	pa-001,pa-002,pa-003,pa-004,pa-006,pa-008,pa-010,pa-011,pa-016,pa-023,pa-024,pa-025,pa-027,pa-028,pa-031,pa-033,pa-040,pa-060,pa-066	tokenització small; pendent d'audició
bueno	C-cobertura-limitada	18	19	0.5072	0.0580	pa-003,pa-019,pa-021,pa-023,pa-030,pa-032,pa-037,pa-038,pa-041,pa-043,pa-049,pa-052,pa-054,pa-059,pa-061,pa-062,pa-065,pa-066	tokenització small; pendent d'audició
diguem	C-cobertura-limitada	12	12	0.6473	0.1053	pa-006,pa-007,pa-018,pa-020,pa-025,pa-027,pa-033,pa-034,pa-046,pa-049,pa-058,pa-062	tokenització small; pendent d'audició
