clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-009__01__a-nivell.wav	8.800	-28.64	0.0627	780.0	117.6	0.6879	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__02__a-veure.wav	7.560	-38.09	0.0739	967.7	131.1	0.4668	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__05__bueno.wav	6.160	-41.97	0.0627	825.3	141.6	0.4446	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__06__b.wav	5.520	-30.86	0.0652	791.1	115.5	0.6036	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__07__clar.wav	9.760	-33.81	0.0627	810.7	114.3	0.5493	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__08__de-fet.wav	8.880	-25.68	0.0576	787.6	131.1	0.8442	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__10__doncs.wav	8.280	-32.05	0.0576	774.5	118.5	0.6138	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__11__evidentment.wav	7.800	-32.78	0.0627	790.8	137.9	0.5964	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__12__llavors.wav	6.120	-32.41	0.0802	951.1	133.3	0.6115	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__13__no.wav	6.760	-32.42	0.0589	745.5	124.0	0.6157	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__14__o-sigui.wav	8.320	-37.26	0.0551	865.8	130.1	0.4892	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__15__per-tant.wav	11.240	-29.95	0.0602	750.6	123.1	0.6435	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__16__perqu.wav	8.160	-28.65	0.0627	815.3	115.1	0.6855	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__17__vull-dir.wav	5.800	-38.12	0.0614	889.7	153.8	0.4896	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__18__s-a-dir.wav	6.920	-29.30	0.0576	715.8	108.8	0.6826	descriptor instrumental; pendent d'audició
clips/lead-rtva-009__31__copr-nceps.wav	9.960	-29.41	0.0602	789.3	115.9	0.6479	descriptor instrumental; pendent d'audició
