candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetics	prosodia	nota_audicio	estat_audicio
lead-rtva-009-isidre-bartumeu	a nivell	clips/lead-rtva-009__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	a veure	clips/lead-rtva-009__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	bueno	clips/lead-rtva-009__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	bé	clips/lead-rtva-009__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	clar	clips/lead-rtva-009__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	de fet	clips/lead-rtva-009__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	doncs	clips/lead-rtva-009__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	evidentment	clips/lead-rtva-009__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	llavors	clips/lead-rtva-009__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	no?	clips/lead-rtva-009__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	o sigui	clips/lead-rtva-009__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	per tant	clips/lead-rtva-009__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	perquè	clips/lead-rtva-009__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	vull dir	clips/lead-rtva-009__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	és a dir	clips/lead-rtva-009__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-009-isidre-bartumeu	coprínceps	clips/lead-rtva-009__31__copr-nceps.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
