clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-010__01__a-nivell.wav	6.720	-27.06	0.0526	745.4	158.4	0.7970	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__02__a-veure.wav	8.680	-25.69	0.0802	1209.4	197.5	0.6570	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__05__bueno.wav	9.720	-24.37	0.0702	1008.0	192.8	0.7216	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__06__b.wav	6.000	-31.30	0.0727	1074.9	186.0	0.5518	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__07__clar.wav	8.800	-23.32	0.0551	853.6	172.0	0.7802	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__08__de-fet.wav	7.920	-26.42	0.0627	955.0	120.8	0.6911	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__09__diguem.wav	9.640	-24.72	0.0576	770.7	110.3	0.7432	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__10__doncs.wav	8.160	-24.75	0.0702	1055.7	183.9	0.7420	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__11__evidentment.wav	8.880	-26.71	0.0702	1008.0	172.0	0.6411	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__12__llavors.wav	9.040	-23.84	0.0501	708.3	115.9	0.8525	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__13__no.wav	6.480	-26.74	0.0576	911.0	150.9	0.7136	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__14__o-sigui.wav	6.480	-28.30	0.0802	1137.3	155.3	0.6146	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__15__per-tant.wav	11.520	-23.98	0.0576	852.1	116.8	0.8104	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__16__perqu.wav	6.240	-24.25	0.0551	917.1	124.0	0.9920	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__17__vull-dir.wav	9.560	-28.94	0.0677	1118.2	197.5	0.6132	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__20__escaldes.wav	7.920	-24.05	0.0576	959.5	190.5	0.7671	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__22__ordino.wav	6.000	-23.42	0.0526	813.5	125.0	0.8027	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__23__sant-juli.wav	7.440	-24.97	0.0602	875.7	135.0	0.7507	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__25__andorrana.wav	8.440	-37.70	0.0564	992.1	175.8	0.4869	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__27__comunals.wav	7.600	-29.64	0.0652	1119.7	190.5	0.6398	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__29__com.wav	11.000	-28.68	0.0451	671.7	108.8	0.7222	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__33__parr-quia.wav	7.840	-26.65	0.0551	842.6	177.8	0.7097	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__36__macarulla.wav	6.000	-27.10	0.0589	824.0	117.6	0.6689	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__37__resclar.wav	10.360	-26.81	0.0777	1115.1	190.5	0.6296	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__38__tronf-s.wav	10.160	-25.09	0.0727	1059.6	188.2	0.6795	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__39__pagesia.wav	7.200	-23.70	0.0526	908.2	125.0	1.0000	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__40__ramaderia.wav	9.520	-22.55	0.0602	859.4	192.8	0.8263	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__42__matan-a.wav	9.040	-25.83	0.0727	1069.0	190.5	0.6508	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__43__andorra.wav	6.240	-24.25	0.0551	917.1	124.0	0.9920	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__45__prats.wav	10.360	-26.81	0.0777	1115.1	190.5	0.6296	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__46__filigranes.wav	11.000	-27.40	0.0526	834.6	179.8	0.7313	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__48__a-l-estiu.wav	8.560	-24.44	0.0526	839.9	119.4	0.8314	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__49__gent-gran.wav	7.200	-24.66	0.0602	965.1	123.1	0.9680	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__50__parella-ling-stica.wav	6.000	-24.55	0.0602	945.6	186.0	0.7960	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__52__barbarismes.wav	7.040	-27.74	0.0627	985.4	126.0	0.6239	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__53__cuc.wav	11.000	-28.68	0.0451	671.7	108.8	0.7222	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__54__c-nsul.wav	6.600	-28.85	0.0602	861.2	195.1	0.6672	descriptor instrumental; pendent d'audició
clips/lead-rtva-010__55__conseller-general.wav	8.920	-25.67	0.0526	748.9	120.3	0.7899	descriptor instrumental; pendent d'audició
