candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-010-lurdes-riba	a nivell	clips/lead-rtva-010__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	a veure	clips/lead-rtva-010__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	bueno	clips/lead-rtva-010__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	bé	clips/lead-rtva-010__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	clar	clips/lead-rtva-010__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	de fet	clips/lead-rtva-010__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	diguem	clips/lead-rtva-010__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	doncs	clips/lead-rtva-010__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	evidentment	clips/lead-rtva-010__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	llavors	clips/lead-rtva-010__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	no?	clips/lead-rtva-010__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	o sigui	clips/lead-rtva-010__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	per tant	clips/lead-rtva-010__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	perquè	clips/lead-rtva-010__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	vull dir	clips/lead-rtva-010__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	Escaldes	clips/lead-rtva-010__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	Ordino	clips/lead-rtva-010__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	Sant Julià	clips/lead-rtva-010__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	andorrana	clips/lead-rtva-010__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	comunals	clips/lead-rtva-010__27__comunals.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	comú	clips/lead-rtva-010__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	parròquia	clips/lead-rtva-010__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	macarulla	clips/lead-rtva-010__36__macarulla.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	resclar	clips/lead-rtva-010__37__resclar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	tronfès	clips/lead-rtva-010__38__tronf-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	pagesia	clips/lead-rtva-010__39__pagesia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	ramaderia	clips/lead-rtva-010__40__ramaderia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	matança	clips/lead-rtva-010__42__matan-a.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	Andorra	clips/lead-rtva-010__43__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	prats	clips/lead-rtva-010__45__prats.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	filigranes	clips/lead-rtva-010__46__filigranes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	a l'estiu	clips/lead-rtva-010__48__a-l-estiu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	gent gran	clips/lead-rtva-010__49__gent-gran.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	parella lingüística	clips/lead-rtva-010__50__parella-ling-stica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	barbarismes	clips/lead-rtva-010__52__barbarismes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	cuc	clips/lead-rtva-010__53__cuc.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	cònsul	clips/lead-rtva-010__54__c-nsul.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-010-lurdes-riba	conseller general	clips/lead-rtva-010__55__conseller-general.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
