clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-011__01__a-nivell.wav	13.000	-27.79	0.0752	1210.2	135.6	0.6610	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__02__a-veure.wav	6.120	-30.87	0.0877	1272.2	127.0	0.5820	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__05__bueno.wav	6.640	-34.38	0.0852	1302.9	133.3	0.5257	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__06__b.wav	7.160	-45.63	0.1253	1943.2	115.9	0.4300	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__07__clar.wav	7.280	-35.09	0.0702	1181.7	116.8	0.5372	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__08__de-fet.wav	12.520	-30.76	0.0526	990.5	113.5	0.5904	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__09__diguem.wav	6.600	-25.15	0.0501	807.9	132.2	0.7492	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__10__doncs.wav	12.480	-30.67	0.0526	1020.6	115.9	0.5875	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__11__evidentment.wav	8.120	-23.68	0.0602	778.1	120.3	0.8506	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__12__llavors.wav	6.440	-27.53	0.0576	823.4	115.9	0.7835	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__13__no.wav	7.760	-26.63	0.0627	933.4	119.4	0.7313	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__14__o-sigui.wav	8.920	-30.74	0.0614	1198.1	125.0	0.5933	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__15__per-tant.wav	7.760	-26.63	0.0627	933.4	119.4	0.7313	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__16__perqu.wav	7.520	-30.08	0.0551	951.2	116.8	0.6253	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__17__vull-dir.wav	8.280	-26.13	0.0576	849.9	119.4	0.7131	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__18__s-a-dir.wav	6.080	-26.76	0.0476	797.4	130.1	0.7096	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__20__escaldes.wav	8.480	-30.75	0.0489	913.6	117.6	0.6194	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__25__andorrana.wav	14.240	-27.55	0.0627	1004.7	120.3	0.6716	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__29__com.wav	7.520	-25.92	0.0627	895.5	126.0	0.7707	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__36__s-ndic-general.wav	6.920	-28.04	0.0652	953.3	136.8	0.7812	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__37__conseller.wav	8.880	-26.40	0.0652	940.3	126.0	0.7754	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__40__ministre.wav	8.160	-26.99	0.0652	958.2	128.0	0.7899	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__42__consell-general.wav	16.880	-31.91	0.0627	1036.5	125.0	0.5403	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__43__constituci.wav	8.880	-26.40	0.0652	940.3	126.0	0.7754	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__44__andorra.wav	10.440	-28.88	0.0627	830.5	121.2	0.6718	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__48__poesia.wav	7.000	-27.10	0.0652	992.3	132.8	0.7908	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__49__poeta.wav	9.120	-25.55	0.0627	882.9	124.5	0.8396	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__50__novel-la.wav	8.200	-25.35	0.0652	928.6	132.2	0.8460	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__51__frontera-endins.wav	8.880	-26.76	0.0551	799.9	132.2	0.7494	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__52__llengua.wav	9.480	-26.24	0.0627	832.6	115.1	0.7452	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__53__catal.wav	9.560	-33.59	0.0902	1407.9	140.4	0.5356	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__54__franc-s.wav	9.560	-33.59	0.0902	1407.9	140.4	0.5356	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__55__castell.wav	7.800	-32.58	0.0602	1052.3	137.9	0.5398	descriptor instrumental; pendent d'audició
clips/lead-rtva-011__57__principat.wav	6.200	-30.37	0.0652	1060.7	120.3	0.5922	descriptor instrumental; pendent d'audició
