clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-012__02__a-veure.wav	8.160	-30.09	0.0501	619.5	88.4	0.7654	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__05__bueno.wav	6.560	-26.18	0.0576	661.7	114.7	0.8471	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__06__b.wav	6.640	-28.17	0.0526	648.8	106.0	0.6964	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__07__clar.wav	8.000	-26.24	0.0501	584.8	105.3	0.8008	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__08__de-fet.wav	6.880	-26.13	0.0627	980.2	116.8	0.7609	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__09__diguem.wav	6.000	-26.32	0.0526	596.6	103.2	0.8144	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__10__doncs.wav	6.240	-26.15	0.0551	713.3	107.4	0.8553	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__11__evidentment.wav	6.560	-28.68	0.0451	682.5	108.8	0.7905	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__12__llavors.wav	8.920	-26.06	0.0526	626.1	111.9	0.8292	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__13__no.wav	6.760	-28.65	0.0602	766.5	106.7	0.7122	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__14__o-sigui.wav	6.960	-27.00	0.0602	811.6	114.3	0.8170	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__15__per-tant.wav	6.000	-27.68	0.0526	641.7	101.9	0.7843	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__16__perqu.wav	7.520	-25.86	0.0602	671.3	98.8	0.7347	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__17__vull-dir.wav	6.000	-28.35	0.0501	652.3	107.0	0.8528	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__18__s-a-dir.wav	6.840	-29.94	0.0551	698.3	102.6	0.7170	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__19__canillo.wav	6.680	-29.20	0.0526	634.3	103.2	0.7282	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__20__escaldes.wav	6.640	-28.45	0.0576	776.1	117.6	0.7583	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__21__massana.wav	6.480	-26.49	0.0526	638.6	108.1	0.8266	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__22__ordino.wav	5.240	-30.05	0.0514	658.1	103.2	0.6782	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__27__comunals.wav	7.520	-27.21	0.0526	622.9	97.6	0.7360	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__28__comuns.wav	6.880	-28.36	0.0476	635.1	98.8	0.7901	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__29__com.wav	6.840	-29.41	0.0526	694.9	90.9	0.7639	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__30__copr-ncep.wav	7.160	-27.37	0.0576	755.5	104.6	0.7339	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__32__padr.wav	7.560	-26.61	0.0551	615.0	100.6	0.7719	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__37__conseller.wav	6.640	-26.17	0.0476	592.9	107.4	0.8459	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__40__ministre.wav	6.600	-29.94	0.0526	610.1	89.4	0.7386	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__42__consell-general.wav	8.080	-26.58	0.0576	792.5	115.1	0.8052	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__43__constituci.wav	5.880	-26.06	0.0576	776.2	128.0	0.8003	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__44__andorra.wav	8.320	-26.81	0.0677	877.1	135.0	0.7904	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__52__llengua.wav	7.440	-27.45	0.0526	702.4	113.5	0.7574	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__53__catal.wav	6.840	-29.25	0.0576	669.1	97.3	0.7566	descriptor instrumental; pendent d'audició
clips/lead-rtva-012__54__franc-s.wav	6.840	-27.74	0.0526	630.7	102.6	0.7713	descriptor instrumental; pendent d'audició
