clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-013__02__a-veure.wav	6.640	-25.88	0.0551	797.9	112.7	0.7855	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__03__aleshores.wav	5.360	-29.58	0.0576	931.3	146.8	0.6610	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__05__bueno.wav	6.560	-23.98	0.0501	701.6	130.1	0.8746	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__06__b.wav	6.800	-28.06	0.0526	754.7	134.5	0.7345	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__07__clar.wav	5.080	-25.80	0.0451	754.2	111.9	0.7747	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__08__de-fet.wav	8.240	-28.59	0.0526	919.6	123.1	0.6496	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__09__diguem.wav	6.720	-27.31	0.0526	826.0	127.0	0.7687	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__10__doncs.wav	7.880	-25.80	0.0501	746.9	117.6	0.8104	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__12__llavors.wav	7.920	-28.30	0.0576	850.4	119.4	0.6354	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__13__no.wav	6.160	-24.88	0.0501	724.9	132.2	0.7899	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__14__o-sigui.wav	7.400	-23.84	0.0526	740.2	125.0	0.8347	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__15__per-tant.wav	7.760	-26.20	0.0451	647.9	120.3	0.7700	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__16__perqu.wav	8.360	-24.20	0.0451	637.7	126.0	0.8537	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__17__vull-dir.wav	7.200	-24.11	0.0501	672.0	124.0	0.8231	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__18__s-a-dir.wav	6.560	-24.92	0.0476	610.2	117.6	0.7355	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__31__copr-nceps.wav	6.600	-29.56	0.0501	750.0	121.2	0.6581	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__33__parr-quia.wav	7.760	-33.72	0.0602	949.6	121.2	0.5362	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__36__magistrat.wav	8.160	-24.77	0.0526	744.4	116.8	0.8354	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__37__tribunal-constitucional.wav	7.680	-25.82	0.0652	957.4	121.2	0.8786	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__38__constituci.wav	6.960	-26.03	0.0602	906.6	121.2	0.8256	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__39__consell-general.wav	5.760	-32.65	0.0526	850.3	115.9	0.5575	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__42__andorra.wav	6.680	-25.85	0.0576	931.3	128.0	0.6607	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__45__jurista.wav	6.720	-26.61	0.0551	779.4	126.0	0.7030	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__46__dret.wav	7.000	-29.61	0.0576	996.8	134.5	0.6390	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__47__ci-ncia-pol-tica.wav	8.200	-24.94	0.0576	865.4	125.0	0.8778	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__48__administraci.wav	8.200	-24.94	0.0576	865.4	125.0	0.8778	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__49__universitat.wav	6.440	-28.76	0.0526	794.5	111.1	0.6698	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__51__catal.wav	7.440	-27.42	0.0501	733.4	117.6	0.7129	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__52__franc-s.wav	6.720	-26.61	0.0551	779.4	126.0	0.7030	descriptor instrumental; pendent d'audició
clips/lead-rtva-013__53__castell.wav	8.920	-31.09	0.0627	999.8	127.5	0.6348	descriptor instrumental; pendent d'audició
