candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-013-pere-vilanova	a veure	clips/lead-rtva-013__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	aleshores	clips/lead-rtva-013__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	bueno	clips/lead-rtva-013__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	bé	clips/lead-rtva-013__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	clar	clips/lead-rtva-013__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	de fet	clips/lead-rtva-013__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	diguem	clips/lead-rtva-013__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	doncs	clips/lead-rtva-013__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	llavors	clips/lead-rtva-013__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	no?	clips/lead-rtva-013__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	o sigui	clips/lead-rtva-013__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	per tant	clips/lead-rtva-013__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	perquè	clips/lead-rtva-013__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	vull dir	clips/lead-rtva-013__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	és a dir	clips/lead-rtva-013__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	coprínceps	clips/lead-rtva-013__31__copr-nceps.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	parròquia	clips/lead-rtva-013__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	magistrat	clips/lead-rtva-013__36__magistrat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	Tribunal Constitucional	clips/lead-rtva-013__37__tribunal-constitucional.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	Constitució	clips/lead-rtva-013__38__constituci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	Consell General	clips/lead-rtva-013__39__consell-general.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	Andorra	clips/lead-rtva-013__42__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	jurista	clips/lead-rtva-013__45__jurista.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	dret	clips/lead-rtva-013__46__dret.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	ciència política	clips/lead-rtva-013__47__ci-ncia-pol-tica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	administració	clips/lead-rtva-013__48__administraci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	universitat	clips/lead-rtva-013__49__universitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	català	clips/lead-rtva-013__51__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	francès	clips/lead-rtva-013__52__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-013-pere-vilanova	castellà	clips/lead-rtva-013__53__castell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
