forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	19	2	sí	small	que no té res a veure amb la crisi,	i vaig sovint a veure-les.					lead-rtva-013__02__a-veure.wav	836080	838720	ASR textual; atribució i audició pendents
aleshores	discurs	0	1	no	base		us trobo sent aleshores.					lead-rtva-013__03__aleshores.wav	1275600	1276960	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	6	6	sí	small	Bueno, és que era una generació que Andorra va tenir	Bueno, és que era una sensació que en Dorra va tenir dins					lead-rtva-013__05__bueno.wav	241680	244240	ASR textual; atribució i audició pendents
bé	discurs	17	17	sí	small	no podia sortir bé de cap manera, jo...	i bé també per a temes professionals i personals,					lead-rtva-013__06__b.wav	415560	418360	ASR textual; atribució i audició pendents
clar	discurs	3	3	sí	small	Clar, clar.	Clar, quan se'n parla, jo bastant bé, 5.					lead-rtva-013__07__clar.wav	876480	877560	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	de fet, 800 anys, abans de canviar-la de socarrel,	de fet 800 anys abans de canviar-la de sóc a real,					lead-rtva-013__08__de-fet.wav	1116480	1120720	ASR textual; atribució i audició pendents
diguem	discurs	0	1	no	base		Diguem els quals no havíem estat acostumats.					lead-rtva-013__09__diguem.wav	3147640	3150360	ASR textual; atribució i audició pendents
doncs	discurs	3	5	sí	small	I si no, doncs és millor i apresa d'omesticar aquesta característica.	Doncs això em donaria per varies existències més,					lead-rtva-013__10__doncs.wav	452760	456640	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
llavors	discurs	4	6	sí	small	Llavors, una altra part, diu sí, però el problema no és tal,	I llavors una altra pare, diu-ci,					lead-rtva-013__12__llavors.wav	1227960	1231880	ASR textual; atribució i audició pendents
no?	discurs	10	11	sí	small	I l'instint de gradir, també, no?	home fa molta vida fora d'endorra, no?					lead-rtva-013__13__no.wav	127520	129680	ASR textual; atribució i audició pendents
o sigui	discurs	3	1	sí	small	O sigui, ara no, ara ha perdut qualitat,	perquè és que cada vegada, o sigui, sempre hi ha guerres.					lead-rtva-013__14__o-sigui.wav	711880	715280	ASR textual; atribució i audició pendents
per tant	discurs	8	9	sí	small	Per tant, va arribar aquí una generació d'entrades del meu pare,	I per tant, va arribar aquí a una generació entre les meves pare,					lead-rtva-013__15__per-tant.wav	260680	264440	ASR textual; atribució i audició pendents
perquè	discurs	32	51	sí	small	Cada vegada, recorrentment perquè és que cada vegada sempre hi ha guerres.	perquè és que cada vegada, o sigui, sempre hi ha guerres.					lead-rtva-013__16__perqu.wav	66200	70560	ASR textual; atribució i audició pendents
vull dir	discurs	0	2	no	base		Això vull dir que no, que l'estat natural de l'home de l'humanitat					lead-rtva-013__17__vull-dir.wav	108880	112080	ASR textual; atribució i audició pendents
és a dir	discurs	5	1	sí	small	és a dir, mantenir la pilota rodant.	És a dir, la gent està en el món					lead-rtva-013__18__s-a-dir.wav	786120	788680	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	0	0	no											ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	0	no											ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	0	0	no											ASR textual; atribució i audició pendents
comú	territorial	0	0	no											ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	3	0	no	small	per agrair els coprínceps de l'època						lead-rtva-013__31__copr-nceps.wav	956280	958880	ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
