candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-014-joan-burgues	a veure	clips/lead-rtva-014__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	aleshores	clips/lead-rtva-014__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	bueno	clips/lead-rtva-014__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	bé	clips/lead-rtva-014__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	clar	clips/lead-rtva-014__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	de fet	clips/lead-rtva-014__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	diguem	clips/lead-rtva-014__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	doncs	clips/lead-rtva-014__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	llavors	clips/lead-rtva-014__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	no?	clips/lead-rtva-014__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	o sigui	clips/lead-rtva-014__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	per tant	clips/lead-rtva-014__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	perquè	clips/lead-rtva-014__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	vull dir	clips/lead-rtva-014__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	és a dir	clips/lead-rtva-014__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	Escaldes	clips/lead-rtva-014__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	fotografia	clips/lead-rtva-014__36__fotografia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	fotògraf	clips/lead-rtva-014__37__fot-graf.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	cineasta	clips/lead-rtva-014__38__cineasta.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	cinema	clips/lead-rtva-014__39__cinema.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	lletres	clips/lead-rtva-014__41__lletres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	cultura	clips/lead-rtva-014__42__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	Andorra	clips/lead-rtva-014__44__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	català	clips/lead-rtva-014__50__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	francès	clips/lead-rtva-014__51__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	castellà	clips/lead-rtva-014__52__castell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-014-joan-burgues	exposició	clips/lead-rtva-014__53__exposici.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
