clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-015__01__a-nivell.wav	7.240	-37.18	0.1203	1675.4	141.6	0.4903	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__02__a-veure.wav	6.880	-30.51	0.0677	1028.0	132.2	0.6327	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__03__aleshores.wav	11.200	-23.56	0.0526	722.2	148.1	0.7272	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__05__bueno.wav	6.520	-24.04	0.0602	1034.9	150.9	0.7569	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__06__b.wav	7.840	-26.10	0.0602	828.2	141.0	0.7647	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__07__clar.wav	7.840	-24.28	0.0627	817.6	136.8	0.8159	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__09__diguem.wav	6.880	-31.62	0.0852	1245.5	139.1	0.6837	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__10__doncs.wav	8.280	-23.40	0.0476	803.5	158.4	0.7300	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__11__evidentment.wav	7.040	-25.27	0.0689	983.9	135.6	0.8590	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__12__llavors.wav	6.480	-24.23	0.0602	865.5	142.9	0.8204	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__13__no.wav	6.800	-28.47	0.0727	1018.2	153.8	0.7625	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__14__o-sigui.wav	9.680	-27.88	0.0526	866.0	137.9	0.7070	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__15__per-tant.wav	9.000	-22.45	0.0501	701.8	150.9	0.7706	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__16__perqu.wav	8.600	-22.55	0.0476	714.8	149.5	0.7576	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__17__vull-dir.wav	8.560	-25.49	0.0451	838.6	142.9	0.7658	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__20__escaldes.wav	7.520	-24.40	0.0551	809.3	145.5	0.6907	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__22__ordino.wav	7.600	-29.59	0.0852	1223.6	141.6	0.7230	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__28__comuns.wav	8.160	-30.70	0.0551	1023.3	155.3	0.6020	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__29__com.wav	8.600	-34.58	0.0990	1476.0	156.9	0.5385	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__36__olimpisme.wav	8.440	-27.43	0.0777	1112.0	124.0	0.7209	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__37__ol-mpic.wav	8.360	-26.47	0.0952	1205.5	197.5	0.6607	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__38__ol-mpica.wav	6.520	-27.00	0.0827	1103.6	128.0	0.7877	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__39__esport.wav	8.480	-26.33	0.0777	1128.9	146.8	0.8156	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__41__comit-ol-mpic.wav	8.360	-26.47	0.0952	1205.5	197.5	0.6607	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__42__jocs-ol-mpics.wav	11.200	-23.56	0.0526	722.2	148.1	0.7272	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__43__andorra.wav	8.360	-26.47	0.0952	1205.5	197.5	0.6607	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__47__muntanya.wav	7.400	-25.94	0.0526	834.5	135.6	0.7561	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__48__pirineus.wav	9.320	-24.58	0.0451	712.2	141.6	0.7312	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__50__franc-s.wav	6.640	-22.25	0.0501	698.7	144.8	0.7236	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__52__esqu.wav	7.040	-21.52	0.0464	640.6	145.5	0.7835	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__53__federaci.wav	8.480	-22.68	0.0526	721.2	148.1	0.7518	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__54__president.wav	8.360	-26.47	0.0952	1205.5	197.5	0.6607	descriptor instrumental; pendent d'audició
clips/lead-rtva-015__55__honorari.wav	8.360	-26.47	0.0952	1205.5	197.5	0.6607	descriptor instrumental; pendent d'audició
