candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-015-isidre-baro	a nivell	clips/lead-rtva-015__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	a veure	clips/lead-rtva-015__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	aleshores	clips/lead-rtva-015__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	bueno	clips/lead-rtva-015__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	bé	clips/lead-rtva-015__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	clar	clips/lead-rtva-015__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	diguem	clips/lead-rtva-015__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	doncs	clips/lead-rtva-015__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	evidentment	clips/lead-rtva-015__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	llavors	clips/lead-rtva-015__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	no?	clips/lead-rtva-015__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	o sigui	clips/lead-rtva-015__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	per tant	clips/lead-rtva-015__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	perquè	clips/lead-rtva-015__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	vull dir	clips/lead-rtva-015__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	Escaldes	clips/lead-rtva-015__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	Ordino	clips/lead-rtva-015__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	comuns	clips/lead-rtva-015__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	comú	clips/lead-rtva-015__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	olimpisme	clips/lead-rtva-015__36__olimpisme.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	olímpic	clips/lead-rtva-015__37__ol-mpic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	olímpica	clips/lead-rtva-015__38__ol-mpica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	esport	clips/lead-rtva-015__39__esport.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	Comitè Olímpic	clips/lead-rtva-015__41__comit-ol-mpic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	jocs olímpics	clips/lead-rtva-015__42__jocs-ol-mpics.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	Andorra	clips/lead-rtva-015__43__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	muntanya	clips/lead-rtva-015__47__muntanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	Pirineus	clips/lead-rtva-015__48__pirineus.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	francès	clips/lead-rtva-015__50__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	esquí	clips/lead-rtva-015__52__esqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	federació	clips/lead-rtva-015__53__federaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	president	clips/lead-rtva-015__54__president.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-015-isidre-baro	honorari	clips/lead-rtva-015__55__honorari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
