clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-016__01__a-nivell.wav	6.000	-31.38	0.0551	862.6	124.0	0.6054	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__02__a-veure.wav	6.520	-27.00	0.0652	841.8	129.0	0.7738	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__03__aleshores.wav	6.520	-30.51	0.0727	1001.0	144.1	0.6215	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__04__aviam.wav	7.200	-45.00	0.1078	1857.0	117.6	0.3802	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__05__bueno.wav	9.080	-26.25	0.0551	713.7	124.5	0.7318	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__06__b.wav	6.840	-28.54	0.0576	815.3	116.8	0.6862	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__07__clar.wav	7.160	-27.98	0.0689	953.8	122.1	0.6485	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__08__de-fet.wav	7.080	-29.61	0.0551	804.4	122.1	0.6827	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__09__diguem.wav	8.800	-31.99	0.0652	1090.1	120.3	0.6606	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__10__doncs.wav	7.120	-25.97	0.0476	657.8	119.4	0.8239	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__11__evidentment.wav	8.040	-32.98	0.0877	1119.5	125.0	0.6010	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__12__llavors.wav	8.040	-32.98	0.0877	1119.5	125.0	0.6010	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__13__no.wav	7.720	-27.73	0.0727	1124.9	119.4	0.6052	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__14__o-sigui.wav	7.320	-26.06	0.0576	820.2	118.5	0.8151	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__15__per-tant.wav	6.520	-25.32	0.0702	1042.6	123.1	0.7154	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__16__perqu.wav	7.440	-29.32	0.0576	823.4	122.1	0.7049	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__18__s-a-dir.wav	7.920	-29.15	0.0576	867.5	127.0	0.6772	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__19__canillo.wav	6.200	-26.79	0.0551	680.3	118.5	0.7395	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__20__escaldes.wav	6.000	-26.30	0.0451	617.9	119.4	0.8244	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__29__com.wav	5.960	-26.28	0.0627	804.9	135.6	0.6852	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__30__copr-ncep.wav	6.840	-27.53	0.0501	719.5	119.4	0.7126	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__32__padr.wav	8.120	-29.57	0.0602	853.8	124.0	0.6185	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__33__parr-quia.wav	7.160	-26.41	0.0526	678.1	133.3	0.7381	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__36__hotel.wav	10.400	-25.61	0.0652	913.8	130.1	0.7447	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__37__hoteler.wav	7.800	-33.59	0.0652	1008.3	131.1	0.5643	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__38__hostal.wav	9.200	-28.14	0.0627	860.2	128.0	0.6438	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__39__turisme.wav	7.120	-26.22	0.0677	1036.5	121.2	0.7634	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__41__calv.wav	7.480	-27.21	0.0677	1029.4	122.1	0.6381	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__42__soldeu.wav	10.440	-27.94	0.0576	820.1	135.0	0.6881	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__43__borda.wav	6.680	-33.44	0.0602	884.8	124.0	0.5541	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__44__ramaderia.wav	8.200	-28.09	0.0602	860.3	121.2	0.7249	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__47__esqu.wav	10.440	-27.94	0.0576	820.1	135.0	0.6881	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__49__neu.wav	7.560	-29.63	0.0627	948.1	131.1	0.6008	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__50__com.wav	5.960	-26.28	0.0627	804.9	135.6	0.6852	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__52__conseller-general.wav	7.720	-26.78	0.0702	1014.5	114.3	0.6870	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__53__constituci.wav	7.480	-26.78	0.0576	842.7	115.9	0.7574	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__54__andorra.wav	6.560	-24.72	0.0727	1049.6	116.8	0.7722	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__56__muntanya.wav	7.200	-27.80	0.0576	852.6	120.3	0.7047	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__58__franc-s.wav	8.760	-30.31	0.0702	949.4	122.1	0.6041	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__60__patrimoni.wav	7.440	-29.32	0.0576	823.4	122.1	0.7049	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__61__fam-lia.wav	7.880	-28.71	0.0627	824.9	127.0	0.6272	descriptor instrumental; pendent d'audició
clips/lead-rtva-016__62__germans.wav	6.680	-30.04	0.0677	992.4	122.1	0.6306	descriptor instrumental; pendent d'audició
