candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-016-josep-areny	a nivell	clips/lead-rtva-016__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	a veure	clips/lead-rtva-016__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	aleshores	clips/lead-rtva-016__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	aviam	clips/lead-rtva-016__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	bueno	clips/lead-rtva-016__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	bé	clips/lead-rtva-016__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	clar	clips/lead-rtva-016__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	de fet	clips/lead-rtva-016__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	diguem	clips/lead-rtva-016__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	doncs	clips/lead-rtva-016__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	evidentment	clips/lead-rtva-016__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	llavors	clips/lead-rtva-016__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	no?	clips/lead-rtva-016__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	o sigui	clips/lead-rtva-016__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	per tant	clips/lead-rtva-016__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	perquè	clips/lead-rtva-016__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	és a dir	clips/lead-rtva-016__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	Canillo	clips/lead-rtva-016__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	Escaldes	clips/lead-rtva-016__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	comú	clips/lead-rtva-016__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-016-josep-areny	copríncep	clips/lead-rtva-016__30__copr-ncep.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
