clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-017__01__a-nivell.wav	5.840	-22.36	0.0677	934.0	133.3	0.8471	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__02__a-veure.wav	6.400	-23.69	0.0689	929.2	115.9	0.8009	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__05__bueno.wav	5.640	-22.31	0.0526	747.0	124.0	0.9573	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__06__b.wav	6.240	-23.61	0.0526	720.5	146.8	0.9341	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__07__clar.wav	6.640	-22.80	0.0752	1044.7	122.1	0.8384	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__08__de-fet.wav	6.600	-25.90	0.0702	903.1	132.2	0.7204	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__09__diguem.wav	7.200	-24.32	0.0689	867.5	118.5	0.8454	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__10__doncs.wav	6.240	-23.61	0.0526	720.5	146.8	0.9341	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__11__evidentment.wav	7.600	-24.09	0.0702	947.6	115.1	0.8061	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__12__llavors.wav	5.680	-29.52	0.0727	1065.3	128.0	0.6360	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__13__no.wav	6.800	-23.64	0.0677	869.1	124.0	0.7965	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__14__o-sigui.wav	6.080	-24.49	0.0702	904.4	127.0	0.7888	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__15__per-tant.wav	9.120	-23.90	0.0627	779.9	121.2	0.7769	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__16__perqu.wav	6.640	-22.70	0.0677	983.0	142.9	0.9139	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__17__vull-dir.wav	6.480	-24.16	0.0702	913.6	144.1	0.8111	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__18__s-a-dir.wav	7.920	-24.24	0.0702	1049.8	117.6	0.8418	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__20__escaldes.wav	8.280	-23.38	0.0652	919.5	135.6	0.8632	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__22__ordino.wav	7.200	-24.78	0.0627	860.7	117.6	0.7855	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__23__sant-juli.wav	7.840	-23.51	0.0727	1062.1	139.1	0.8159	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__25__andorrana.wav	7.880	-24.63	0.0689	889.2	123.1	0.7964	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__30__copr-ncep.wav	7.240	-24.21	0.0727	932.2	115.9	0.7562	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__32__padr.wav	7.920	-22.40	0.0652	875.8	148.1	0.8785	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__33__parr-quia.wav	7.440	-23.55	0.0652	833.1	107.4	0.7628	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__36__mestre.wav	6.360	-24.42	0.0677	836.2	124.0	0.8407	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__37__escola.wav	8.280	-25.05	0.0652	854.0	131.1	0.8148	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__38__escola-francesa.wav	8.280	-25.05	0.0652	854.0	131.1	0.8148	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__39__ciutat-de-valls.wav	8.280	-25.05	0.0652	854.0	131.1	0.8148	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__40__ramader.wav	6.360	-24.42	0.0677	836.2	124.0	0.8407	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__41__ramaderia.wav	6.600	-22.67	0.0602	844.4	132.2	0.8693	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__43__camp.wav	8.200	-23.29	0.0677	919.3	122.1	0.8301	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__44__casa.wav	9.040	-23.01	0.0602	773.0	118.5	0.8381	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__45__andorra.wav	7.360	-25.45	0.0576	846.9	125.5	0.6703	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__47__andorrants.wav	8.040	-22.50	0.0627	783.4	115.1	0.8653	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__50__conseller-general.wav	8.280	-24.90	0.0652	918.5	122.1	0.8462	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__51__conseller.wav	8.280	-24.90	0.0652	918.5	122.1	0.8462	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__52__consell-general.wav	7.880	-22.81	0.0652	924.1	118.5	0.8626	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__54__nacionalitat.wav	8.040	-23.70	0.0677	954.3	133.3	0.8229	descriptor instrumental; pendent d'audició
clips/lead-rtva-017__57__delegat-permanent.wav	8.080	-22.59	0.0576	736.9	108.1	0.8660	descriptor instrumental; pendent d'audició
