candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-017-simo-duro	a nivell	clips/lead-rtva-017__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	a veure	clips/lead-rtva-017__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	bueno	clips/lead-rtva-017__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	bé	clips/lead-rtva-017__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	clar	clips/lead-rtva-017__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	de fet	clips/lead-rtva-017__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	diguem	clips/lead-rtva-017__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	doncs	clips/lead-rtva-017__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	evidentment	clips/lead-rtva-017__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	llavors	clips/lead-rtva-017__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	no?	clips/lead-rtva-017__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	o sigui	clips/lead-rtva-017__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	per tant	clips/lead-rtva-017__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	perquè	clips/lead-rtva-017__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	vull dir	clips/lead-rtva-017__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	és a dir	clips/lead-rtva-017__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Escaldes	clips/lead-rtva-017__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Ordino	clips/lead-rtva-017__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Sant Julià	clips/lead-rtva-017__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	andorrana	clips/lead-rtva-017__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	copríncep	clips/lead-rtva-017__30__copr-ncep.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	padrí	clips/lead-rtva-017__32__padr.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	parròquia	clips/lead-rtva-017__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	mestre	clips/lead-rtva-017__36__mestre.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	escola	clips/lead-rtva-017__37__escola.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	escola francesa	clips/lead-rtva-017__38__escola-francesa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Ciutat de Valls	clips/lead-rtva-017__39__ciutat-de-valls.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	ramader	clips/lead-rtva-017__40__ramader.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	ramaderia	clips/lead-rtva-017__41__ramaderia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	camp	clips/lead-rtva-017__43__camp.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	casa	clips/lead-rtva-017__44__casa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Andorra	clips/lead-rtva-017__45__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	andorrants	clips/lead-rtva-017__47__andorrants.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	conseller general	clips/lead-rtva-017__50__conseller-general.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	conseller	clips/lead-rtva-017__51__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Consell General	clips/lead-rtva-017__52__consell-general.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	nacionalitat	clips/lead-rtva-017__54__nacionalitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	delegat permanent	clips/lead-rtva-017__57__delegat-permanent.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	cor de cambra	clips/lead-rtva-017__59__cor-de-cambra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	francès	clips/lead-rtva-017__62__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	mos	clips/lead-rtva-017__64__mos.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	poble	clips/lead-rtva-017__65__poble.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	Constitució	clips/lead-rtva-017__66__constituci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	avortament	clips/lead-rtva-017__67__avortament.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	gent gran	clips/lead-rtva-017__68__gent-gran.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-017-simo-duro	educació especial	clips/lead-rtva-017__69__educaci-especial.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
