candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-018-ricard-fiter	a nivell	clips/lead-rtva-018__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	a veure	clips/lead-rtva-018__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	bueno	clips/lead-rtva-018__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	bé	clips/lead-rtva-018__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	clar	clips/lead-rtva-018__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	de fet	clips/lead-rtva-018__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	diguem	clips/lead-rtva-018__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	doncs	clips/lead-rtva-018__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	llavors	clips/lead-rtva-018__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	no?	clips/lead-rtva-018__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	o sigui	clips/lead-rtva-018__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	per tant	clips/lead-rtva-018__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	perquè	clips/lead-rtva-018__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	és a dir	clips/lead-rtva-018__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	Sant Julià	clips/lead-rtva-018__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	andorrana	clips/lead-rtva-018__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	comú	clips/lead-rtva-018__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-018-ricard-fiter	advocat	clips/lead-rtva-018__36__advocat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
