clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-019__01__a-nivell.wav	6.360	-31.29	0.0777	1280.6	179.8	0.6325	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__02__a-veure.wav	6.840	-27.73	0.0727	1098.4	155.3	0.7331	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__05__bueno.wav	12.560	-30.31	0.0827	1156.1	126.0	0.8620	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__06__b.wav	8.320	-27.64	0.0652	1086.5	143.5	0.7831	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__07__clar.wav	7.960	-31.05	0.0752	1390.8	192.8	0.5995	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__08__de-fet.wav	6.200	-28.86	0.0702	1157.8	181.8	0.7055	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__10__doncs.wav	7.000	-26.26	0.0777	1174.4	155.3	0.9140	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__12__llavors.wav	6.680	-28.94	0.0652	1192.3	179.8	0.7523	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__13__no.wav	7.160	-28.56	0.0777	1272.5	190.5	0.7157	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__14__o-sigui.wav	10.180	-30.82	0.0927	1449.4	213.3	0.7156	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__15__per-tant.wav	8.400	-31.14	0.0652	1053.3	108.1	0.7076	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__16__perqu.wav	7.080	-28.52	0.0727	1293.1	190.5	0.6813	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__28__comuns.wav	7.240	-28.41	0.0677	1037.7	128.0	0.7812	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__29__com.wav	7.240	-29.36	0.0702	1200.0	190.5	0.7479	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__36__joventut.wav	6.680	-29.29	0.0627	1184.0	186.0	0.7147	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__37__jove.wav	6.640	-27.89	0.0789	1193.1	188.2	0.7266	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__38__joves.wav	7.120	-26.49	0.0777	1139.7	137.3	0.8958	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__40__habitatge.wav	10.400	-32.62	0.0689	1198.1	146.8	0.7139	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__41__lloguer.wav	7.520	-30.00	0.0627	981.4	117.6	0.7400	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__42__comprar.wav	7.000	-26.52	0.0802	1258.6	225.4	0.8052	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__43__sou.wav	10.400	-32.62	0.0689	1198.1	146.8	0.7139	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__44__feina.wav	10.600	-27.75	0.0739	1189.5	130.1	0.8450	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__45__estudis.wav	8.260	-32.44	0.0902	1322.7	207.8	0.5825	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__46__estudiant.wav	7.280	-28.55	0.0677	1252.1	186.0	0.7245	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__48__participaci.wav	7.680	-26.80	0.0702	1084.2	144.1	0.7702	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__49__pol-tica.wav	6.440	-28.82	0.0602	1029.2	129.0	0.7274	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__50__eleccions.wav	7.360	-26.55	0.0727	1152.6	170.2	0.7711	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__51__milit-ncia.wav	7.120	-28.44	0.0777	1292.4	170.2	0.6915	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__52__institucions.wav	7.600	-25.63	0.0652	1060.4	150.9	0.8219	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__53__andorra.wav	7.640	-26.58	0.0702	1014.3	130.1	0.7808	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__57__col-lectiu.wav	7.600	-25.63	0.0652	1060.4	150.9	0.8219	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__58__drets.wav	7.600	-26.12	0.0677	1098.0	140.4	0.7586	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__59__present.wav	6.120	-26.13	0.0702	1100.2	166.7	0.8934	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__60__futur.wav	5.920	-25.18	0.0677	1074.2	163.3	0.8678	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__63__comunicaci.wav	6.080	-27.87	0.0652	1157.1	179.8	0.7871	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__70__desafecci.wav	6.240	-29.33	0.0752	1171.1	136.8	0.7717	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__72__activa.wav	7.680	-26.80	0.0702	1084.2	144.1	0.7702	descriptor instrumental; pendent d'audició
clips/lead-rtva-019__73__acollit.wav	7.120	-28.83	0.0852	1458.0	188.2	0.6746	descriptor instrumental; pendent d'audició
