clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-020__01__a-nivell.wav	8.480	-28.63	0.0852	1399.0	163.3	0.7943	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__02__a-veure.wav	6.640	-27.14	0.0952	1548.9	181.8	0.7734	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__05__bueno.wav	5.360	-36.17	0.1128	1660.2	162.4	0.5150	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__06__b.wav	5.360	-36.17	0.1128	1660.2	162.4	0.5150	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__07__clar.wav	6.680	-34.85	0.1253	1809.8	173.9	0.5526	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__08__de-fet.wav	7.040	-27.50	0.0902	1364.8	132.2	0.7821	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__09__diguem.wav	7.280	-30.33	0.0915	1435.4	200.0	0.7011	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__10__doncs.wav	5.000	-29.30	0.1003	1536.4	142.9	0.7289	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__11__evidentment.wav	7.920	-27.59	0.0777	1311.9	166.7	0.7329	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__12__llavors.wav	7.520	-31.69	0.0852	1276.7	137.9	0.6853	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__13__no.wav	8.360	-29.38	0.0802	1347.1	168.4	0.7686	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__14__o-sigui.wav	7.400	-27.63	0.0952	1397.9	170.2	0.8062	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__15__per-tant.wav	6.920	-28.72	0.0977	1576.9	193.9	0.6855	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__16__perqu.wav	6.840	-33.07	0.0802	1464.3	149.5	0.6100	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__17__vull-dir.wav	8.120	-30.95	0.1003	1664.7	177.8	0.6333	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__18__s-a-dir.wav	7.000	-30.87	0.0802	1388.9	127.0	0.6275	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__19__canillo.wav	6.960	-29.63	0.0727	1254.4	166.7	0.7248	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__22__ordino.wav	7.320	-27.94	0.0977	1451.7	190.5	0.7000	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__25__andorrana.wav	7.920	-26.39	0.0802	1266.7	164.9	0.7899	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__26__comunal.wav	6.760	-28.04	0.1003	1591.2	173.9	0.8398	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__28__comuns.wav	7.160	-27.17	0.0977	1566.5	179.8	0.8011	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__29__com.wav	8.200	-27.59	0.0877	1384.3	172.0	0.7604	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__33__parr-quia.wav	10.000	-28.69	0.0927	1465.8	179.8	0.6864	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__36__ministra.wav	7.000	-29.30	0.0977	1595.2	146.8	0.7335	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__37__ministeri.wav	8.320	-29.46	0.0952	1494.2	177.8	0.7060	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__38__cultura.wav	7.840	-28.84	0.1504	1882.5	133.3	0.8376	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__40__esports.wav	7.840	-28.84	0.1504	1882.5	133.3	0.8376	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__45__federaci.wav	7.920	-26.39	0.0802	1266.7	164.9	0.7899	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__46__futbol.wav	6.200	-29.03	0.0802	1243.9	124.0	0.7702	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__47__b-squet.wav	6.560	-29.30	0.1078	1680.1	170.2	0.7110	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__48__pavell.wav	6.400	-27.95	0.0902	1375.8	166.7	0.7461	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__50__comit-ol-mpic.wav	8.120	-28.29	0.1078	1657.8	168.4	0.7630	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__51__govern.wav	7.440	-26.68	0.0952	1515.2	179.8	0.7305	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__55__santa-coloma.wav	7.520	-31.69	0.0852	1276.7	137.9	0.6853	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__56__andorra.wav	7.400	-35.73	0.0852	1488.7	152.4	0.5122	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__59__projecte.wav	6.160	-29.09	0.0927	1447.2	172.0	0.7052	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__60__concessi.wav	6.640	-29.49	0.0902	1258.5	144.1	0.6903	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__61__estadi.wav	6.200	-29.03	0.0802	1243.9	124.0	0.7702	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__62__esdeveniment.wav	7.360	-27.71	0.0752	1332.5	163.3	0.8597	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__63__premis.wav	7.360	-28.71	0.1053	1694.6	168.4	0.6826	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__64__toni-mart.wav	7.800	-29.79	0.0927	1572.1	149.5	0.7802	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__65__jocs.wav	6.200	-28.03	0.0802	1260.7	131.1	0.7767	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__67__equip.wav	9.720	-29.48	0.1003	1637.5	177.8	0.6505	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__71__hipermotion.wav	6.200	-32.82	0.1028	1612.4	219.2	0.6424	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__72__lliga.wav	6.560	-32.15	0.0977	1456.9	132.2	0.6086	descriptor instrumental; pendent d'audició
clips/lead-rtva-020__73__comissi-legislativa.wav	8.360	-27.57	0.1053	1607.4	164.9	0.7554	descriptor instrumental; pendent d'audició
