candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-020-monica-bonell	a nivell	clips/lead-rtva-020__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	a veure	clips/lead-rtva-020__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	bueno	clips/lead-rtva-020__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	bé	clips/lead-rtva-020__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	clar	clips/lead-rtva-020__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	de fet	clips/lead-rtva-020__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	diguem	clips/lead-rtva-020__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	doncs	clips/lead-rtva-020__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	evidentment	clips/lead-rtva-020__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	llavors	clips/lead-rtva-020__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	no?	clips/lead-rtva-020__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	o sigui	clips/lead-rtva-020__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	per tant	clips/lead-rtva-020__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	perquè	clips/lead-rtva-020__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	vull dir	clips/lead-rtva-020__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	és a dir	clips/lead-rtva-020__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	Canillo	clips/lead-rtva-020__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	Ordino	clips/lead-rtva-020__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	andorrana	clips/lead-rtva-020__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	comunal	clips/lead-rtva-020__26__comunal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	comuns	clips/lead-rtva-020__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	comú	clips/lead-rtva-020__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	parròquia	clips/lead-rtva-020__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	ministra	clips/lead-rtva-020__36__ministra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	ministeri	clips/lead-rtva-020__37__ministeri.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	cultura	clips/lead-rtva-020__38__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	esports	clips/lead-rtva-020__40__esports.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	federació	clips/lead-rtva-020__45__federaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	futbol	clips/lead-rtva-020__46__futbol.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	bàsquet	clips/lead-rtva-020__47__b-squet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	pavelló	clips/lead-rtva-020__48__pavell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	Comitè Olímpic	clips/lead-rtva-020__50__comit-ol-mpic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	Govern	clips/lead-rtva-020__51__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-020-monica-bonell	Santa Coloma	clips/lead-rtva-020__55__santa-coloma.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
