candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-021-bonaventura-riberaygua	a nivell	clips/lead-rtva-021__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	a veure	clips/lead-rtva-021__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	aleshores	clips/lead-rtva-021__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	bueno	clips/lead-rtva-021__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	bé	clips/lead-rtva-021__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	clar	clips/lead-rtva-021__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	de fet	clips/lead-rtva-021__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	diguem	clips/lead-rtva-021__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	doncs	clips/lead-rtva-021__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	evidentment	clips/lead-rtva-021__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	llavors	clips/lead-rtva-021__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	no?	clips/lead-rtva-021__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	o sigui	clips/lead-rtva-021__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	per tant	clips/lead-rtva-021__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	perquè	clips/lead-rtva-021__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	vull dir	clips/lead-rtva-021__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	és a dir	clips/lead-rtva-021__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	Escaldes	clips/lead-rtva-021__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	empresari	clips/lead-rtva-021__36__empresari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	empresa	clips/lead-rtva-021__37__empresa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	ministre	clips/lead-rtva-021__38__ministre.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	ministeri	clips/lead-rtva-021__39__ministeri.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	comerç	clips/lead-rtva-021__41__comer.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	negoci	clips/lead-rtva-021__42__negoci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	cultura	clips/lead-rtva-021__47__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	esports	clips/lead-rtva-021__49__esports.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	ministres	clips/lead-rtva-021__55__ministres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	Govern	clips/lead-rtva-021__56__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	conseller	clips/lead-rtva-021__57__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	consell	clips/lead-rtva-021__58__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	futbol	clips/lead-rtva-021__59__futbol.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	Andorra	clips/lead-rtva-021__68__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	família	clips/lead-rtva-021__69__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	andorrans	clips/lead-rtva-021__71__andorrans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	català	clips/lead-rtva-021__81__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-021-bonaventura-riberaygua	francès	clips/lead-rtva-021__82__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
