clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-022__02__a-veure.wav	6.280	-25.34	0.0451	614.4	127.0	0.7796	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__03__aleshores.wav	9.840	-24.29	0.0351	485.5	150.9	0.7770	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__05__bueno.wav	7.120	-23.57	0.0476	622.3	145.5	0.8014	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__06__b.wav	6.240	-28.57	0.0514	736.2	148.1	0.6190	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__07__clar.wav	6.920	-26.16	0.0526	800.8	128.0	0.6754	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__08__de-fet.wav	8.360	-26.82	0.0602	888.5	121.2	0.6978	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__09__diguem.wav	6.720	-25.48	0.0426	577.2	137.9	0.7030	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__10__doncs.wav	7.200	-30.16	0.0652	911.0	131.1	0.6100	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__11__evidentment.wav	7.280	-25.30	0.0526	755.0	125.0	0.7631	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__12__llavors.wav	8.480	-26.53	0.0501	692.3	148.1	0.6927	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__13__no.wav	6.280	-25.34	0.0451	614.4	127.0	0.7796	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__14__o-sigui.wav	6.240	-22.95	0.0551	711.2	164.9	0.7669	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__15__per-tant.wav	6.760	-26.67	0.0602	932.1	124.0	0.7329	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__16__perqu.wav	6.280	-24.15	0.0351	540.7	142.9	0.7540	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__18__s-a-dir.wav	7.000	-24.31	0.0426	651.8	141.6	0.8496	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__21__massana.wav	7.440	-28.92	0.0551	728.4	140.4	0.6240	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__28__comuns.wav	8.960	-26.59	0.0376	525.9	170.2	0.7036	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__29__com.wav	8.120	-25.27	0.0401	560.4	149.5	0.7630	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__32__padr.wav	9.960	-23.93	0.0627	900.1	129.0	0.7847	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__33__parr-quia.wav	8.200	-25.95	0.0602	829.5	137.9	0.6956	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__36__pol-tica.wav	8.080	-24.74	0.0627	933.6	126.0	0.8921	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__37__president.wav	7.440	-26.12	0.0602	864.6	122.1	0.7385	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__38__just-cia.wav	7.440	-26.12	0.0602	864.6	122.1	0.7385	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__40__consell.wav	7.440	-26.12	0.0602	864.6	122.1	0.7385	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__41__conseller.wav	9.040	-26.34	0.0627	821.6	125.0	0.7206	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__43__constituci.wav	7.400	-24.97	0.0652	937.4	129.0	0.8117	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__44__govern.wav	8.360	-23.66	0.0501	621.1	150.9	0.8177	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__45__hist-ria.wav	7.080	-25.58	0.0652	903.2	124.0	0.7535	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__46__transformaci.wav	6.240	-23.97	0.0627	875.8	130.1	0.8955	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__47__segle.wav	6.440	-24.06	0.0627	874.6	130.1	0.8801	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__50__andorra.wav	6.240	-23.97	0.0627	875.8	130.1	0.8955	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__52__joventut.wav	6.240	-24.48	0.0627	893.2	131.1	0.8328	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__54__patrimoni.wav	6.000	-23.80	0.0501	712.5	132.8	0.8846	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__67__la-massana.wav	7.440	-28.92	0.0551	728.4	140.4	0.6240	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__69__fam-lia.wav	10.400	-26.87	0.0401	582.3	144.1	0.6647	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__80__equip.wav	6.800	-26.14	0.0627	873.2	130.1	0.7596	descriptor instrumental; pendent d'audició
clips/lead-rtva-022__82__franc-s.wav	6.920	-25.23	0.0476	702.5	133.3	0.7145	descriptor instrumental; pendent d'audició
