candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-022-josep-marsal	a veure	clips/lead-rtva-022__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	aleshores	clips/lead-rtva-022__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	bueno	clips/lead-rtva-022__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	bé	clips/lead-rtva-022__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	clar	clips/lead-rtva-022__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	de fet	clips/lead-rtva-022__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	diguem	clips/lead-rtva-022__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	doncs	clips/lead-rtva-022__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	evidentment	clips/lead-rtva-022__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	llavors	clips/lead-rtva-022__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	no?	clips/lead-rtva-022__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	o sigui	clips/lead-rtva-022__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	per tant	clips/lead-rtva-022__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	perquè	clips/lead-rtva-022__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	és a dir	clips/lead-rtva-022__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	Massana	clips/lead-rtva-022__21__massana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	comuns	clips/lead-rtva-022__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	comú	clips/lead-rtva-022__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	padrí	clips/lead-rtva-022__32__padr.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	parròquia	clips/lead-rtva-022__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	política	clips/lead-rtva-022__36__pol-tica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	president	clips/lead-rtva-022__37__president.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	justícia	clips/lead-rtva-022__38__just-cia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	consell	clips/lead-rtva-022__40__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	conseller	clips/lead-rtva-022__41__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	Constitució	clips/lead-rtva-022__43__constituci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	Govern	clips/lead-rtva-022__44__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	història	clips/lead-rtva-022__45__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	transformació	clips/lead-rtva-022__46__transformaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	segle	clips/lead-rtva-022__47__segle.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	Andorra	clips/lead-rtva-022__50__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	joventut	clips/lead-rtva-022__52__joventut.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	patrimoni	clips/lead-rtva-022__54__patrimoni.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	La Massana	clips/lead-rtva-022__67__la-massana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	família	clips/lead-rtva-022__69__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	equip	clips/lead-rtva-022__80__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-022-josep-marsal	francès	clips/lead-rtva-022__82__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
