clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-023__01__a-nivell.wav	6.320	-28.30	0.0702	1005.5	103.9	0.6270	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__02__a-veure.wav	6.120	-30.87	0.0551	1351.4	131.1	0.5918	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__04__aviam.wav	7.720	-27.82	0.0576	958.3	127.0	0.7143	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__05__bueno.wav	6.480	-44.30	0.0476	1529.1	124.0	0.4396	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__06__b.wav	6.000	-31.88	0.0727	1164.6	115.1	0.5970	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__07__clar.wav	10.440	-28.85	0.0752	1131.3	115.9	0.6583	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__08__de-fet.wav	7.000	-29.89	0.0727	1214.9	132.2	0.6089	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__09__diguem.wav	7.920	-25.56	0.0602	806.3	111.9	0.8671	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__10__doncs.wav	8.760	-32.19	0.0702	1082.6	123.1	0.6419	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__12__llavors.wav	8.880	-33.47	0.0902	1407.9	116.8	0.5824	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__13__no.wav	6.600	-35.68	0.0652	1526.4	150.9	0.5061	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__14__o-sigui.wav	5.480	-27.71	0.0627	1052.6	114.3	0.7454	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__15__per-tant.wav	6.040	-29.41	0.0652	1051.2	113.5	0.7940	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__16__perqu.wav	6.720	-26.59	0.0576	922.3	100.6	0.8224	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__17__vull-dir.wav	7.280	-25.59	0.0526	784.9	116.8	0.7493	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__22__ordino.wav	8.840	-30.70	0.0627	991.8	113.5	0.5873	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__29__com.wav	8.560	-26.80	0.0602	915.0	115.1	0.7400	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__36__empresari.wav	8.640	-29.79	0.0777	1119.5	128.0	0.6288	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__37__empresa.wav	8.560	-28.05	0.0727	1094.5	124.0	0.9122	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__38__empresarial.wav	6.000	-27.18	0.0551	944.4	109.6	0.7525	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__39__economia.wav	5.960	-31.23	0.0702	1072.6	124.0	0.5842	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__41__negoci.wav	10.600	-31.41	0.0639	1098.7	107.4	0.5926	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__43__fam-lia.wav	7.440	-28.63	0.0702	1073.8	133.3	0.6644	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__45__president.wav	6.720	-30.29	0.0627	912.1	114.3	0.6896	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__46__govern.wav	7.240	-24.82	0.0501	794.1	129.0	0.8130	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__47__andorra.wav	8.840	-30.70	0.0627	991.8	113.5	0.5873	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__51__patrimoni.wav	8.720	-27.52	0.0576	794.0	127.0	0.7172	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__55__federaci.wav	8.720	-28.32	0.0752	1101.7	126.0	0.6897	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__58__consell.wav	7.880	-26.25	0.0551	897.6	133.3	0.7634	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__74__premis.wav	7.280	-33.27	0.0727	986.3	110.3	0.6074	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__75__toni-mart.wav	8.120	-26.64	0.0602	1002.2	117.6	0.7691	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__77__festa.wav	9.080	-29.04	0.0576	834.6	124.0	0.6578	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__78__equip.wav	6.480	-29.08	0.0777	1307.7	140.4	0.6223	descriptor instrumental; pendent d'audició
clips/lead-rtva-023__79__catal.wav	8.320	-33.67	0.0752	953.9	119.0	0.5614	descriptor instrumental; pendent d'audició
