candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-023-josep-maria-cases	a nivell	clips/lead-rtva-023__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	a veure	clips/lead-rtva-023__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	aviam	clips/lead-rtva-023__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	bueno	clips/lead-rtva-023__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	bé	clips/lead-rtva-023__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	clar	clips/lead-rtva-023__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	de fet	clips/lead-rtva-023__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	diguem	clips/lead-rtva-023__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	doncs	clips/lead-rtva-023__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	llavors	clips/lead-rtva-023__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	no?	clips/lead-rtva-023__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	o sigui	clips/lead-rtva-023__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	per tant	clips/lead-rtva-023__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	perquè	clips/lead-rtva-023__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	vull dir	clips/lead-rtva-023__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	Ordino	clips/lead-rtva-023__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	comú	clips/lead-rtva-023__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	empresari	clips/lead-rtva-023__36__empresari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	empresa	clips/lead-rtva-023__37__empresa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	empresarial	clips/lead-rtva-023__38__empresarial.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	economia	clips/lead-rtva-023__39__economia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	negoci	clips/lead-rtva-023__41__negoci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	família	clips/lead-rtva-023__43__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	president	clips/lead-rtva-023__45__president.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	Govern	clips/lead-rtva-023__46__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	Andorra	clips/lead-rtva-023__47__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	patrimoni	clips/lead-rtva-023__51__patrimoni.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	federació	clips/lead-rtva-023__55__federaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	consell	clips/lead-rtva-023__58__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	premis	clips/lead-rtva-023__74__premis.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	Toni Martí	clips/lead-rtva-023__75__toni-mart.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	festa	clips/lead-rtva-023__77__festa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	equip	clips/lead-rtva-023__78__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-023-josep-maria-cases	català	clips/lead-rtva-023__79__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
