clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-024__01__a-nivell.wav	6.040	-25.67	0.0602	798.7	172.0	0.8439	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__02__a-veure.wav	7.920	-42.03	0.0714	1395.3	188.2	0.4544	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__03__aleshores.wav	8.440	-28.64	0.0602	1132.7	195.1	0.6580	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__05__bueno.wav	5.680	-25.81	0.0476	747.0	186.0	0.7668	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__06__b.wav	6.520	-23.92	0.0526	855.0	177.8	0.8185	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__07__clar.wav	7.000	-27.14	0.0677	986.0	163.3	0.7407	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__08__de-fet.wav	8.200	-26.97	0.0526	811.5	128.0	0.7592	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__09__diguem.wav	8.400	-26.12	0.0526	862.1	135.6	0.7399	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__10__doncs.wav	6.840	-25.85	0.0526	886.6	160.0	0.7962	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__12__llavors.wav	8.000	-25.50	0.0476	787.5	190.5	0.7619	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__13__no.wav	6.400	-26.23	0.0551	915.6	181.8	0.6646	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__14__o-sigui.wav	7.040	-24.66	0.0526	945.6	166.7	0.8063	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__15__per-tant.wav	8.120	-27.40	0.0551	898.6	131.7	0.6605	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__16__perqu.wav	6.680	-27.89	0.0602	969.2	186.0	0.6502	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__17__vull-dir.wav	6.360	-29.45	0.0602	982.8	207.8	0.6530	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__18__s-a-dir.wav	5.800	-29.06	0.0702	1097.2	197.5	0.6505	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__19__canillo.wav	6.280	-25.09	0.0602	843.6	130.1	0.8690	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__26__comunal.wav	7.000	-26.93	0.0526	865.3	161.6	0.7751	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__27__comunals.wav	7.840	-26.79	0.0652	931.6	122.1	0.8581	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__29__com.wav	6.360	-25.32	0.0602	923.1	139.1	0.9527	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__32__padr.wav	8.920	-28.44	0.0551	1076.6	192.8	0.6506	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__33__parr-quia.wav	7.040	-25.31	0.0627	954.1	126.5	0.9658	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__38__hist-ria.wav	6.280	-26.77	0.0627	961.8	161.6	0.6534	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__39__casa.wav	7.240	-25.40	0.0551	953.4	170.2	0.7756	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__40__fam-lia.wav	6.600	-29.13	0.0551	860.6	119.4	0.6049	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__41__poble.wav	9.880	-26.57	0.0551	921.5	190.5	0.7373	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__43__costums.wav	14.440	-28.69	0.0677	1012.4	188.2	0.6408	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__45__llibre.wav	8.640	-25.16	0.0576	901.1	126.0	0.9722	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__47__andorra.wav	8.520	-26.68	0.0576	894.1	153.8	0.7576	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__48__cultura.wav	6.120	-24.89	0.0576	876.9	131.7	0.9607	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__58__conseller.wav	5.680	-28.56	0.0451	762.7	164.9	0.7686	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__59__consell.wav	6.160	-25.00	0.0576	780.7	190.5	0.9121	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__78__festa.wav	10.000	-30.21	0.0576	994.0	197.5	0.6152	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__80__catal.wav	9.000	-24.68	0.0551	908.6	191.6	0.7906	descriptor instrumental; pendent d'audició
clips/lead-rtva-024__81__franc-s.wav	8.480	-29.16	0.0602	931.6	129.6	0.6891	descriptor instrumental; pendent d'audició
