candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-024-denisa-font	a nivell	clips/lead-rtva-024__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	a veure	clips/lead-rtva-024__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	aleshores	clips/lead-rtva-024__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	bueno	clips/lead-rtva-024__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	bé	clips/lead-rtva-024__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	clar	clips/lead-rtva-024__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	de fet	clips/lead-rtva-024__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	diguem	clips/lead-rtva-024__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	doncs	clips/lead-rtva-024__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	llavors	clips/lead-rtva-024__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	no?	clips/lead-rtva-024__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	o sigui	clips/lead-rtva-024__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	per tant	clips/lead-rtva-024__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	perquè	clips/lead-rtva-024__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	vull dir	clips/lead-rtva-024__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	és a dir	clips/lead-rtva-024__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	Canillo	clips/lead-rtva-024__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	comunal	clips/lead-rtva-024__26__comunal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	comunals	clips/lead-rtva-024__27__comunals.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	comú	clips/lead-rtva-024__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	padrí	clips/lead-rtva-024__32__padr.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	parròquia	clips/lead-rtva-024__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	història	clips/lead-rtva-024__38__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	casa	clips/lead-rtva-024__39__casa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	família	clips/lead-rtva-024__40__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	poble	clips/lead-rtva-024__41__poble.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	costums	clips/lead-rtva-024__43__costums.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	llibre	clips/lead-rtva-024__45__llibre.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	Andorra	clips/lead-rtva-024__47__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	cultura	clips/lead-rtva-024__48__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	conseller	clips/lead-rtva-024__58__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	consell	clips/lead-rtva-024__59__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	festa	clips/lead-rtva-024__78__festa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	català	clips/lead-rtva-024__80__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-024-denisa-font	francès	clips/lead-rtva-024__81__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
