clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-025__01__a-nivell.wav	6.160	-27.24	0.0652	920.9	132.2	0.7182	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__02__a-veure.wav	7.000	-28.76	0.0702	988.0	122.1	0.6877	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__03__aleshores.wav	8.920	-26.83	0.0652	872.1	108.8	0.7629	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__05__bueno.wav	6.280	-30.65	0.0551	816.7	113.5	0.6358	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__06__b.wav	8.240	-27.73	0.0627	837.1	105.3	0.7628	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__07__clar.wav	5.520	-31.05	0.0627	820.5	107.4	0.5855	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__08__de-fet.wav	7.160	-26.52	0.0602	863.0	121.2	0.8151	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__09__diguem.wav	9.920	-34.15	0.0702	1046.4	125.0	0.5535	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__10__doncs.wav	5.840	-27.43	0.0576	753.4	101.9	0.7904	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__11__evidentment.wav	5.120	-29.37	0.0627	841.6	119.9	0.6745	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__12__llavors.wav	6.520	-50.19	0.0977	1660.9	116.8	0.2800	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__13__no.wav	6.840	-25.01	0.0702	828.5	106.7	0.7977	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__14__o-sigui.wav	8.160	-26.82	0.0602	811.7	105.3	0.7396	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__15__per-tant.wav	6.280	-30.20	0.0652	779.9	127.0	0.6773	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__16__perqu.wav	7.880	-26.25	0.0602	895.9	111.1	0.7316	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__17__vull-dir.wav	8.280	-26.39	0.0627	825.2	101.3	0.7288	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__18__s-a-dir.wav	8.040	-27.52	0.0602	878.3	122.1	0.7244	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__20__escaldes.wav	6.880	-27.47	0.0702	831.2	112.7	0.7551	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__21__massana.wav	6.600	-26.98	0.0677	881.4	124.0	0.8024	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__22__ordino.wav	5.480	-27.18	0.0664	882.7	106.0	0.7454	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__23__sant-juli.wav	7.600	-26.95	0.0602	812.3	112.7	0.7678	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__24__aiguats.wav	9.680	-31.36	0.0677	949.0	98.2	0.6957	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__25__andorrana.wav	8.240	-29.32	0.0652	826.6	116.8	0.6557	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__27__comunals.wav	7.600	-30.10	0.0777	1024.7	112.7	0.7045	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__28__comuns.wav	6.520	-30.89	0.0627	851.4	116.8	0.6354	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__29__com.wav	7.960	-27.22	0.0501	639.8	102.6	0.7229	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__33__parr-quia.wav	6.800	-27.26	0.0652	879.0	113.5	0.7950	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__36__educaci.wav	7.160	-28.51	0.0539	801.6	101.9	0.7829	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__37__escola.wav	6.920	-29.25	0.0639	849.9	115.1	0.6391	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__38__ensenyament.wav	7.240	-32.25	0.0602	897.7	121.2	0.5983	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__41__hist-ria.wav	6.000	-27.05	0.0652	841.0	114.3	0.8645	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__45__poble.wav	6.040	-29.77	0.0752	981.4	111.1	0.7508	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__46__fam-lia.wav	7.720	-28.91	0.0551	769.1	113.1	0.6649	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__47__andorra.wav	6.120	-27.95	0.0576	718.3	107.7	0.7590	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__48__joventut.wav	6.280	-30.65	0.0551	816.7	113.5	0.6358	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__54__govern.wav	6.000	-36.72	0.0526	831.7	103.9	0.4967	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__55__conseller.wav	8.440	-26.69	0.0627	893.8	128.0	0.9062	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__56__consell.wav	8.000	-27.01	0.0627	843.5	121.7	0.7769	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__64__la-massana.wav	6.600	-26.98	0.0677	881.4	124.0	0.8024	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__67__andorrans.wav	6.520	-33.44	0.0664	861.4	106.7	0.5692	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__76__equip.wav	6.560	-30.82	0.0551	721.6	114.3	0.6223	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__77__catal.wav	7.080	-29.96	0.0652	884.9	106.0	0.6402	descriptor instrumental; pendent d'audició
clips/lead-rtva-025__78__franc-s.wav	5.760	-32.74	0.0627	822.1	99.1	0.6080	descriptor instrumental; pendent d'audició
