clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-026__01__a-nivell.wav	7.640	-24.92	0.0451	667.1	177.8	0.7428	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__02__a-veure.wav	6.560	-21.85	0.0426	564.7	173.9	0.8425	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__05__bueno.wav	7.240	-25.10	0.0451	685.4	170.2	0.7784	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__06__b.wav	8.080	-25.61	0.0526	690.2	158.4	0.7208	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__07__clar.wav	8.080	-25.61	0.0526	690.2	158.4	0.7208	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__08__de-fet.wav	6.320	-26.35	0.0551	825.0	127.0	0.7571	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__09__diguem.wav	7.280	-23.72	0.0426	574.6	160.0	0.8416	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__10__doncs.wav	8.080	-25.61	0.0526	690.2	158.4	0.7208	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__12__llavors.wav	7.920	-27.46	0.0476	698.7	155.3	0.7114	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__13__no.wav	6.000	-25.35	0.0526	688.7	161.6	0.7893	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__15__per-tant.wav	8.160	-28.51	0.0526	683.8	153.8	0.6855	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__16__perqu.wav	6.000	-25.35	0.0526	688.7	161.6	0.7893	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__17__vull-dir.wav	6.600	-22.71	0.0451	562.2	158.4	0.8617	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__18__s-a-dir.wav	7.640	-23.45	0.0451	647.4	163.3	0.8163	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__19__canillo.wav	6.320	-26.24	0.0627	771.0	123.1	0.7571	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__23__sant-juli.wav	8.600	-25.20	0.0576	810.3	120.3	0.8531	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__25__andorrana.wav	7.080	-28.06	0.0476	781.3	119.4	0.7110	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__26__comunal.wav	7.240	-26.25	0.0476	782.9	126.0	0.7687	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__29__com.wav	5.760	-24.31	0.0514	752.4	175.8	0.8397	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__33__parr-quia.wav	9.240	-29.98	0.0426	712.6	163.3	0.7191	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__36__educaci.wav	8.160	-26.08	0.0652	991.9	124.0	0.9287	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__37__escola.wav	8.120	-25.20	0.0677	981.1	122.1	0.8679	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__39__cultura.wav	9.000	-26.80	0.0501	699.8	119.4	0.7918	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__42__muntanya.wav	8.520	-29.86	0.0451	834.7	127.0	0.6459	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__43__poble.wav	9.240	-29.98	0.0426	712.6	163.3	0.7191	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__44__fam-lia.wav	7.640	-26.16	0.0551	718.4	166.7	0.7782	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__46__andorra.wav	6.360	-24.64	0.0652	887.1	132.2	0.8991	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__47__joventut.wav	8.160	-26.08	0.0652	991.9	124.0	0.9287	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__48__esports.wav	8.160	-26.08	0.0652	991.9	124.0	0.9287	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__53__ministres.wav	6.800	-26.11	0.0476	741.2	136.8	0.8009	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__54__govern.wav	5.760	-26.01	0.0652	936.8	135.6	0.9024	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__55__conseller.wav	7.480	-24.44	0.0501	824.2	173.9	0.8727	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__56__consell.wav	6.520	-24.03	0.0476	755.4	177.8	0.8462	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__65__santa-coloma.wav	6.600	-27.66	0.0501	765.4	133.3	0.7584	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__76__equip.wav	5.840	-27.67	0.0526	863.4	161.6	0.7423	descriptor instrumental; pendent d'audició
clips/lead-rtva-026__78__franc-s.wav	6.880	-29.05	0.0602	729.5	141.6	0.6808	descriptor instrumental; pendent d'audició
