candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-026-rosa-maria-mandico	a nivell	clips/lead-rtva-026__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	a veure	clips/lead-rtva-026__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	bueno	clips/lead-rtva-026__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	bé	clips/lead-rtva-026__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	clar	clips/lead-rtva-026__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	de fet	clips/lead-rtva-026__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	diguem	clips/lead-rtva-026__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	doncs	clips/lead-rtva-026__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	llavors	clips/lead-rtva-026__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	no?	clips/lead-rtva-026__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	per tant	clips/lead-rtva-026__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	perquè	clips/lead-rtva-026__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	vull dir	clips/lead-rtva-026__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	és a dir	clips/lead-rtva-026__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	Canillo	clips/lead-rtva-026__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	Sant Julià	clips/lead-rtva-026__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	andorrana	clips/lead-rtva-026__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	comunal	clips/lead-rtva-026__26__comunal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	comú	clips/lead-rtva-026__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	parròquia	clips/lead-rtva-026__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	educació	clips/lead-rtva-026__36__educaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	escola	clips/lead-rtva-026__37__escola.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	cultura	clips/lead-rtva-026__39__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	muntanya	clips/lead-rtva-026__42__muntanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	poble	clips/lead-rtva-026__43__poble.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	família	clips/lead-rtva-026__44__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	Andorra	clips/lead-rtva-026__46__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	joventut	clips/lead-rtva-026__47__joventut.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	esports	clips/lead-rtva-026__48__esports.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	ministres	clips/lead-rtva-026__53__ministres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	Govern	clips/lead-rtva-026__54__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	conseller	clips/lead-rtva-026__55__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	consell	clips/lead-rtva-026__56__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	Santa Coloma	clips/lead-rtva-026__65__santa-coloma.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	equip	clips/lead-rtva-026__76__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-026-rosa-maria-mandico	francès	clips/lead-rtva-026__78__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
