clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-027__01__a-nivell.wav	6.240	-25.69	0.0401	662.0	188.2	0.8135	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__02__a-veure.wav	6.560	-30.06	0.0576	867.7	197.5	0.6743	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__03__aleshores.wav	6.520	-27.06	0.0551	923.6	188.2	0.7138	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__04__aviam.wav	6.320	-24.15	0.0476	700.4	166.7	0.9413	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__05__bueno.wav	6.480	-24.21	0.0526	799.9	179.8	0.7941	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__06__b.wav	7.520	-23.40	0.0526	819.2	170.2	0.8693	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__07__clar.wav	5.800	-28.12	0.0526	778.3	163.3	0.7439	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__08__de-fet.wav	6.120	-27.69	0.0476	726.5	124.0	0.7131	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__09__diguem.wav	6.000	-23.26	0.0451	639.5	197.5	0.8896	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__10__doncs.wav	6.320	-23.24	0.0426	726.4	188.2	0.8905	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__11__evidentment.wav	6.520	-25.15	0.0451	817.6	179.8	0.7569	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__12__llavors.wav	6.800	-22.27	0.0476	745.0	177.8	0.8776	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__13__no.wav	10.880	-27.59	0.0551	837.2	113.5	0.7035	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__14__o-sigui.wav	5.800	-28.84	0.0551	759.5	115.1	0.6419	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__15__per-tant.wav	6.080	-24.98	0.0451	723.8	188.2	0.8152	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__16__perqu.wav	8.080	-24.45	0.0501	897.3	166.7	0.8015	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__17__vull-dir.wav	8.160	-28.80	0.0476	762.3	166.7	0.7297	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__18__s-a-dir.wav	7.880	-25.23	0.0451	789.1	195.1	0.7519	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__20__escaldes.wav	9.160	-26.72	0.0551	820.3	122.1	0.7560	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__29__com.wav	8.160	-23.47	0.0351	719.8	188.2	0.8034	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__37__escola.wav	7.720	-27.99	0.0526	823.8	175.8	0.7532	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__38__hist-ria.wav	7.560	-24.76	0.0627	987.3	122.1	0.9244	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__40__patrimoni.wav	8.480	-26.24	0.0551	816.1	181.8	0.7624	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__41__fotografia.wav	8.920	-24.93	0.0501	731.1	168.4	0.8225	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__44__muntanya.wav	7.120	-29.16	0.0426	893.5	210.5	0.6535	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__45__poble.wav	7.360	-23.70	0.0351	706.1	186.0	0.8365	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__46__fam-lia.wav	9.160	-26.72	0.0551	820.3	122.1	0.7560	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__48__andorra.wav	6.680	-26.22	0.0476	774.7	125.0	0.6622	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__51__museu.wav	7.880	-25.23	0.0451	789.1	195.1	0.7519	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__52__biblioteca.wav	7.320	-25.33	0.0576	891.9	170.2	0.7877	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__53__arxiu.wav	6.080	-25.12	0.0501	850.9	183.9	0.8977	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__55__ministres.wav	7.400	-26.81	0.0551	838.7	103.9	0.6816	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__56__govern.wav	6.640	-24.80	0.0576	826.8	114.3	0.9804	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__58__consell.wav	6.000	-23.32	0.0401	646.9	181.8	0.8662	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__69__andorrans.wav	7.640	-25.90	0.0464	734.3	202.5	0.7769	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__70__projecte.wav	18.680	-25.72	0.0426	728.7	173.9	0.7492	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__75__toni-mart.wav	6.560	-27.74	0.0401	675.9	166.7	0.7905	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__76__jocs.wav	7.640	-26.62	0.0526	714.2	121.2	0.7966	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__79__catal.wav	6.120	-24.17	0.0351	644.3	181.8	0.9475	descriptor instrumental; pendent d'audició
clips/lead-rtva-027__80__franc-s.wav	5.000	-26.51	0.0501	779.0	165.8	0.9378	descriptor instrumental; pendent d'audició
