candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-027-jordi-guillamet	a nivell	clips/lead-rtva-027__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	a veure	clips/lead-rtva-027__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	aleshores	clips/lead-rtva-027__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	aviam	clips/lead-rtva-027__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	bueno	clips/lead-rtva-027__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	bé	clips/lead-rtva-027__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	clar	clips/lead-rtva-027__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	de fet	clips/lead-rtva-027__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	diguem	clips/lead-rtva-027__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	doncs	clips/lead-rtva-027__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	evidentment	clips/lead-rtva-027__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	llavors	clips/lead-rtva-027__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	no?	clips/lead-rtva-027__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	o sigui	clips/lead-rtva-027__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	per tant	clips/lead-rtva-027__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	perquè	clips/lead-rtva-027__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	vull dir	clips/lead-rtva-027__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	és a dir	clips/lead-rtva-027__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	Escaldes	clips/lead-rtva-027__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	comú	clips/lead-rtva-027__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	escola	clips/lead-rtva-027__37__escola.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	història	clips/lead-rtva-027__38__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	patrimoni	clips/lead-rtva-027__40__patrimoni.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	fotografia	clips/lead-rtva-027__41__fotografia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	muntanya	clips/lead-rtva-027__44__muntanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	poble	clips/lead-rtva-027__45__poble.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	família	clips/lead-rtva-027__46__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	Andorra	clips/lead-rtva-027__48__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	museu	clips/lead-rtva-027__51__museu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	biblioteca	clips/lead-rtva-027__52__biblioteca.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	arxiu	clips/lead-rtva-027__53__arxiu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	ministres	clips/lead-rtva-027__55__ministres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	Govern	clips/lead-rtva-027__56__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	consell	clips/lead-rtva-027__58__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	andorrans	clips/lead-rtva-027__69__andorrans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	projecte	clips/lead-rtva-027__70__projecte.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	Toni Martí	clips/lead-rtva-027__75__toni-mart.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	jocs	clips/lead-rtva-027__76__jocs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	català	clips/lead-rtva-027__79__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-027-jordi-guillamet	francès	clips/lead-rtva-027__80__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
