candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-028-pere-besoli	a veure	clips/lead-rtva-028__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	bueno	clips/lead-rtva-028__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	bé	clips/lead-rtva-028__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	clar	clips/lead-rtva-028__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	de fet	clips/lead-rtva-028__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	diguem	clips/lead-rtva-028__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	doncs	clips/lead-rtva-028__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	evidentment	clips/lead-rtva-028__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	llavors	clips/lead-rtva-028__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	no?	clips/lead-rtva-028__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	o sigui	clips/lead-rtva-028__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	per tant	clips/lead-rtva-028__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	perquè	clips/lead-rtva-028__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	vull dir	clips/lead-rtva-028__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	és a dir	clips/lead-rtva-028__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	Escaldes	clips/lead-rtva-028__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	andorrana	clips/lead-rtva-028__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	comú	clips/lead-rtva-028__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	copríncep	clips/lead-rtva-028__30__copr-ncep.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	escola	clips/lead-rtva-028__37__escola.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	història	clips/lead-rtva-028__38__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	empresa	clips/lead-rtva-028__41__empresa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	empresari	clips/lead-rtva-028__42__empresari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	comerç	clips/lead-rtva-028__43__comer.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	família	clips/lead-rtva-028__46__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	Andorra	clips/lead-rtva-028__48__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	joventut	clips/lead-rtva-028__49__joventut.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	Govern	clips/lead-rtva-028__56__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	andorrans	clips/lead-rtva-028__69__andorrans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	projecte	clips/lead-rtva-028__70__projecte.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	esdeveniment	clips/lead-rtva-028__73__esdeveniment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	premis	clips/lead-rtva-028__74__premis.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	jocs	clips/lead-rtva-028__76__jocs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	festa	clips/lead-rtva-028__77__festa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	equip	clips/lead-rtva-028__78__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	català	clips/lead-rtva-028__79__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	francès	clips/lead-rtva-028__80__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-028-pere-besoli	castellà	clips/lead-rtva-028__81__castell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
