clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-029__02__a-veure.wav	11.520	-30.33	0.0602	879.8	119.4	0.6157	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__04__aviam.wav	6.200	-39.36	0.0777	1084.7	114.3	0.4806	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__05__bueno.wav	6.000	-25.19	0.0526	700.0	106.0	0.7458	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__06__b.wav	8.360	-25.76	0.0501	706.6	115.1	0.6894	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__07__clar.wav	7.200	-24.43	0.0576	849.2	119.4	0.7479	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__08__de-fet.wav	7.200	-25.79	0.0476	672.2	98.2	0.7479	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__09__diguem.wav	6.560	-24.62	0.0501	748.0	149.5	0.6881	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__10__doncs.wav	6.880	-28.97	0.0426	728.0	119.4	0.7143	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__11__evidentment.wav	6.480	-29.39	0.0551	783.9	136.8	0.5929	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__12__llavors.wav	6.000	-29.87	0.0652	853.4	100.0	0.5569	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__13__no.wav	6.000	-27.58	0.0501	686.7	100.0	0.7207	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__14__o-sigui.wav	6.920	-26.02	0.0551	682.8	129.0	0.6667	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__15__per-tant.wav	10.280	-26.43	0.0501	750.0	121.2	0.6803	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__16__perqu.wav	6.960	-31.76	0.0576	785.5	133.3	0.5951	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__17__vull-dir.wav	7.080	-24.86	0.0451	590.7	129.0	0.7691	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__18__s-a-dir.wav	6.520	-30.17	0.0652	867.6	120.3	0.5600	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__19__canillo.wav	7.320	-26.70	0.0576	760.9	105.6	0.6384	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__20__escaldes.wav	8.800	-26.26	0.0551	746.3	126.0	0.7096	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__26__comunal.wav	8.040	-25.41	0.0551	664.4	125.0	0.7444	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__29__com.wav	7.440	-25.74	0.0551	715.8	128.0	0.7008	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__30__copr-ncep.wav	8.640	-32.63	0.0576	804.7	107.4	0.5696	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__36__educaci.wav	6.000	-25.11	0.0476	719.8	127.0	0.7542	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__37__escola.wav	6.480	-26.17	0.0526	733.8	112.7	0.6842	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__38__hist-ria.wav	6.520	-25.01	0.0526	817.4	99.4	0.7338	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__42__poble.wav	6.440	-24.10	0.0627	688.9	124.0	0.6620	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__43__fam-lia.wav	7.880	-29.06	0.0526	802.5	99.4	0.6056	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__46__mem-ria.wav	7.400	-25.76	0.0501	773.3	116.8	0.6260	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__47__andorra.wav	5.320	-22.73	0.0501	772.8	110.3	0.8962	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__48__joventut.wav	9.400	-26.13	0.0501	720.1	98.2	0.7409	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__55__govern.wav	6.920	-34.99	0.0652	1048.8	126.5	0.5159	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__57__consell.wav	8.640	-25.97	0.0501	705.7	129.0	0.7100	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__66__santa-coloma.wav	5.920	-25.11	0.0489	682.3	119.4	0.7644	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__69__projecte.wav	6.760	-24.70	0.0451	669.1	127.0	0.8101	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__73__premis.wav	6.280	-27.41	0.0551	666.5	106.0	0.6166	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__76__festa.wav	7.720	-27.47	0.0627	777.5	125.0	0.6286	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__77__equip.wav	6.840	-46.66	0.0777	1438.8	121.2	0.3959	descriptor instrumental; pendent d'audició
clips/lead-rtva-029__79__franc-s.wav	6.760	-24.85	0.0501	638.7	128.0	0.7448	descriptor instrumental; pendent d'audició
