clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-030__01__a-nivell.wav	7.480	-30.36	0.0852	1053.7	123.1	0.6769	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__02__a-veure.wav	7.200	-32.56	0.0627	781.0	111.1	0.6156	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__04__aviam.wav	6.800	-30.13	0.0727	993.7	121.2	0.7330	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__05__bueno.wav	7.240	-31.38	0.0802	997.2	150.9	0.5637	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__06__b.wav	8.120	-33.04	0.1003	1362.6	132.2	0.5889	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__07__clar.wav	8.640	-34.05	0.0702	872.7	110.3	0.5847	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__08__de-fet.wav	6.440	-30.69	0.0802	1161.8	130.1	0.7523	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__09__diguem.wav	9.160	-31.76	0.0652	791.9	111.9	0.6761	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__10__doncs.wav	6.040	-32.97	0.0576	782.6	116.8	0.6445	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__11__evidentment.wav	6.000	-27.86	0.0752	1030.4	136.2	0.7559	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__12__llavors.wav	9.080	-31.96	0.0802	896.1	122.1	0.6049	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__13__no.wav	8.120	-31.33	0.0752	934.7	109.6	0.6605	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__14__o-sigui.wav	7.400	-29.97	0.0602	801.6	132.2	0.6748	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__15__per-tant.wav	6.240	-32.34	0.1028	1272.5	139.1	0.6141	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__16__perqu.wav	6.000	-28.80	0.0977	1340.3	130.1	0.7542	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__17__vull-dir.wav	6.560	-29.81	0.0576	803.3	123.1	0.7584	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__25__andorrana.wav	6.200	-34.74	0.0752	959.8	111.1	0.5372	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__26__comunal.wav	8.560	-30.08	0.0702	897.4	137.9	0.6171	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__29__com.wav	9.040	-33.70	0.1328	1584.4	130.1	0.5344	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__37__escola.wav	6.000	-31.96	0.0802	1141.1	124.0	0.6405	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__38__hist-ria.wav	8.240	-30.12	0.1153	1686.7	156.9	0.6752	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__39__cultura.wav	9.840	-30.80	0.0602	860.0	125.0	0.6629	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__41__tradici.wav	7.040	-29.56	0.1003	1394.2	136.8	0.7308	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__42__poble.wav	5.960	-32.74	0.0602	905.4	115.1	0.5657	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__43__fam-lia.wav	7.080	-28.11	0.0902	1204.7	131.1	0.8414	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__46__mem-ria.wav	6.000	-30.43	0.1153	1424.5	134.5	0.6739	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__47__andorra.wav	7.000	-31.48	0.0602	813.6	115.9	0.6117	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__48__comer.wav	8.440	-26.57	0.0727	823.7	116.4	0.7494	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__49__empresa.wav	8.320	-31.89	0.0727	863.8	109.6	0.6735	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__53__biblioteca.wav	6.560	-28.75	0.0677	863.4	140.4	0.6498	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__56__ministres.wav	6.000	-31.32	0.1003	1469.0	125.0	0.6003	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__57__govern.wav	6.000	-32.89	0.1003	1334.6	139.1	0.6187	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__58__conseller.wav	8.680	-35.23	0.0752	1062.9	136.8	0.5219	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__59__consell.wav	10.000	-36.31	0.0802	1009.8	131.1	0.5030	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__70__andorrans.wav	7.000	-30.76	0.0777	906.1	113.5	0.7192	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__78__festa.wav	9.600	-34.71	0.0602	853.9	119.9	0.5428	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__79__equip.wav	8.360	-33.77	0.0702	863.8	108.8	0.5839	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__80__catal.wav	7.560	-28.34	0.0576	793.7	129.0	0.6618	descriptor instrumental; pendent d'audició
clips/lead-rtva-030__81__franc-s.wav	6.000	-33.64	0.0802	1114.7	117.6	0.5502	descriptor instrumental; pendent d'audició
