candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-030-casimir-arajol	a nivell	clips/lead-rtva-030__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	a veure	clips/lead-rtva-030__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	aviam	clips/lead-rtva-030__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	bueno	clips/lead-rtva-030__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	bé	clips/lead-rtva-030__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	clar	clips/lead-rtva-030__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	de fet	clips/lead-rtva-030__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	diguem	clips/lead-rtva-030__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	doncs	clips/lead-rtva-030__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	evidentment	clips/lead-rtva-030__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	llavors	clips/lead-rtva-030__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	no?	clips/lead-rtva-030__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	o sigui	clips/lead-rtva-030__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	per tant	clips/lead-rtva-030__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	perquè	clips/lead-rtva-030__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	vull dir	clips/lead-rtva-030__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	andorrana	clips/lead-rtva-030__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	comunal	clips/lead-rtva-030__26__comunal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	comú	clips/lead-rtva-030__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	escola	clips/lead-rtva-030__37__escola.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	història	clips/lead-rtva-030__38__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	cultura	clips/lead-rtva-030__39__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	tradició	clips/lead-rtva-030__41__tradici.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	poble	clips/lead-rtva-030__42__poble.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	família	clips/lead-rtva-030__43__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	memòria	clips/lead-rtva-030__46__mem-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	Andorra	clips/lead-rtva-030__47__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	comerç	clips/lead-rtva-030__48__comer.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	empresa	clips/lead-rtva-030__49__empresa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	biblioteca	clips/lead-rtva-030__53__biblioteca.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	ministres	clips/lead-rtva-030__56__ministres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	Govern	clips/lead-rtva-030__57__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	conseller	clips/lead-rtva-030__58__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	consell	clips/lead-rtva-030__59__consell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	andorrans	clips/lead-rtva-030__70__andorrans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	festa	clips/lead-rtva-030__78__festa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	equip	clips/lead-rtva-030__79__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	català	clips/lead-rtva-030__80__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-030-casimir-arajol	francès	clips/lead-rtva-030__81__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
