clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-031__02__a-veure.wav	9.680	-26.71	0.0802	1558.8	130.1	0.6770	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__03__aleshores.wav	7.360	-28.51	0.0852	1553.4	126.5	0.6322	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__04__aviam.wav	6.960	-38.58	0.1855	2227.0	134.5	0.4496	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__05__bueno.wav	9.120	-36.38	0.0965	1638.8	120.3	0.5022	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__06__b.wav	7.320	-27.12	0.0977	1510.7	123.1	0.7288	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__07__clar.wav	6.400	-34.85	0.1429	1937.0	124.0	0.5266	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__08__de-fet.wav	6.160	-31.25	0.1316	1944.7	181.8	0.5945	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__09__diguem.wav	6.200	-28.01	0.1028	1661.0	136.8	0.7476	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__10__doncs.wav	7.360	-28.51	0.0852	1553.4	126.5	0.6322	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__11__evidentment.wav	6.000	-27.62	0.0952	1406.3	128.0	0.7809	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__12__llavors.wav	6.120	-28.47	0.0902	1688.0	134.5	0.6426	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__13__no.wav	7.480	-28.09	0.1003	1599.1	127.0	0.6340	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__14__o-sigui.wav	6.800	-32.65	0.1241	1788.3	127.0	0.5841	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__15__per-tant.wav	6.080	-30.56	0.1303	1938.7	125.0	0.6089	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__16__perqu.wav	7.800	-27.87	0.0827	1450.9	130.1	0.6645	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__17__vull-dir.wav	6.720	-30.17	0.0827	1493.3	149.5	0.6075	descriptor instrumental; pendent d'audició
clips/lead-rtva-031__18__s-a-dir.wav	7.200	-31.81	0.1328	2120.6	121.2	0.6281	descriptor instrumental; pendent d'audició
