clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-032__02__a-veure.wav	8.200	-28.95	0.0927	1186.1	140.4	0.7506	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__04__aviam.wav	5.920	-35.37	0.0752	1038.5	195.1	0.5119	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__05__bueno.wav	8.240	-29.20	0.0827	1139.4	172.0	0.6180	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__06__b.wav	6.560	-28.83	0.0602	840.6	164.9	0.7232	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__07__clar.wav	7.200	-25.70	0.0602	1035.6	202.5	0.6490	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__08__de-fet.wav	6.120	-31.71	0.0977	1380.6	172.0	0.6115	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__09__diguem.wav	6.160	-31.14	0.0727	1149.6	207.8	0.5651	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__10__doncs.wav	5.400	-29.39	0.0727	1024.4	197.5	0.6283	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__11__evidentment.wav	7.520	-25.07	0.0602	968.0	175.8	0.7400	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__12__llavors.wav	6.320	-26.26	0.0564	752.8	177.8	0.7127	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__13__no.wav	6.800	-23.01	0.0451	677.0	188.2	0.8215	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__14__o-sigui.wav	7.320	-26.07	0.0652	995.1	197.5	0.7849	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__15__per-tant.wav	7.920	-26.66	0.0627	918.7	177.8	0.7152	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__16__perqu.wav	8.040	-26.55	0.0652	989.8	179.8	0.7007	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__17__vull-dir.wav	8.960	-29.11	0.0777	1238.2	179.8	0.6823	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__19__canillo.wav	7.400	-23.95	0.0677	1012.7	181.8	0.7805	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__20__escaldes.wav	6.400	-30.10	0.0752	1047.7	172.0	0.6364	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__25__andorrana.wav	8.600	-26.93	0.0865	1143.5	195.1	0.6597	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__28__comuns.wav	7.680	-24.81	0.0602	927.2	183.9	0.7846	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__29__com.wav	6.760	-23.72	0.0501	814.6	186.0	0.7774	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__36__educaci.wav	9.760	-25.81	0.0852	1215.5	133.3	0.7546	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__37__escola.wav	6.160	-26.72	0.1053	1333.0	130.6	0.8176	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__38__hist-ria.wav	6.560	-32.57	0.0702	974.6	175.8	0.6239	descriptor instrumental; pendent d'audició
clips/lead-rtva-032__39__cultura.wav	8.120	-24.58	0.0602	875.9	183.9	0.7543	descriptor instrumental; pendent d'audició
