clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-059-carles-ensenyat__06__b.wav	7.000	-32.22	0.0627	937.6	134.5	0.5931	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__10__doncs.wav	6.400	-32.90	0.0677	1074.0	144.1	0.6003	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__11__evidentment.wav	6.000	-32.86	0.0652	1014.6	142.9	0.6020	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__16__perqu.wav	7.600	-31.30	0.0752	1195.1	124.0	0.6385	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__20__escaldes.wav	7.000	-34.26	0.0702	1066.9	131.2	0.5659	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__28__comuns.wav	7.240	-41.18	0.0802	1267.1	111.9	0.4211	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__33__parr-quia.wav	5.400	-37.52	0.0702	1076.6	119.4	0.4647	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__34__santuari.wav	9.000	-31.38	0.0802	1258.9	114.3	0.6871	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__37__sindicatura.wav	5.800	-35.05	0.0677	1080.3	142.2	0.5502	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__38__consell-general.wav	7.240	-41.18	0.0802	1267.1	111.9	0.4211	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__39__meritxell.wav	9.000	-31.38	0.0802	1258.9	114.3	0.6871	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__40__habitatge.wav	7.200	-33.76	0.0677	1079.6	132.8	0.5794	descriptor instrumental; pendent d'audició
clips/lead-rtva-059-carles-ensenyat__43__coprincipat.wav	7.960	-30.12	0.0627	887.1	131.1	0.6839	descriptor instrumental; pendent d'audició
