candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-rtva-059-carles-ensenyat	bé	clips/lead-rtva-059-carles-ensenyat__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	doncs	clips/lead-rtva-059-carles-ensenyat__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	evidentment	clips/lead-rtva-059-carles-ensenyat__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	perquè	clips/lead-rtva-059-carles-ensenyat__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	Escaldes	clips/lead-rtva-059-carles-ensenyat__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	comuns	clips/lead-rtva-059-carles-ensenyat__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	parròquia	clips/lead-rtva-059-carles-ensenyat__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	santuari	clips/lead-rtva-059-carles-ensenyat__34__santuari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	Sindicatura	clips/lead-rtva-059-carles-ensenyat__37__sindicatura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	Consell General	clips/lead-rtva-059-carles-ensenyat__38__consell-general.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	Meritxell	clips/lead-rtva-059-carles-ensenyat__39__meritxell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	habitatge	clips/lead-rtva-059-carles-ensenyat__40__habitatge.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-rtva-059-carles-ensenyat	coprincipat	clips/lead-rtva-059-carles-ensenyat__43__coprincipat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
