clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-033__06__b.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
clips/lead-yt-033__07__clar.wav	5.800	-37.04	0.1053	1540.9	121.7	0.4931	descriptor instrumental; pendent d'audició
clips/lead-yt-033__10__doncs.wav	10.000	-40.98	0.1028	1611.0	129.0	0.4279	descriptor instrumental; pendent d'audició
clips/lead-yt-033__18__s-a-dir.wav	8.100	-39.36	0.1078	1636.7	117.6	0.4629	descriptor instrumental; pendent d'audició
clips/lead-yt-033__27__comunals.wav	6.360	-33.33	0.0952	1602.5	124.0	0.5568	descriptor instrumental; pendent d'audició
clips/lead-yt-033__28__comuns.wav	12.000	-31.30	0.1078	1562.2	117.6	0.6077	descriptor instrumental; pendent d'audició
clips/lead-yt-033__37__finances-p-bliques.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
clips/lead-yt-033__38__sostenibilitat.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
clips/lead-yt-033__39__estabilitat.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
clips/lead-yt-033__40__fiscal.wav	12.000	-31.30	0.1078	1562.2	117.6	0.6077	descriptor instrumental; pendent d'audició
clips/lead-yt-033__41__govern.wav	12.000	-31.30	0.1078	1562.2	117.6	0.6077	descriptor instrumental; pendent d'audició
clips/lead-yt-033__42__deute.wav	9.200	-32.76	0.0977	1491.3	119.4	0.5675	descriptor instrumental; pendent d'audició
clips/lead-yt-033__43__inversi.wav	10.600	-39.63	0.1140	1708.2	130.1	0.4319	descriptor instrumental; pendent d'audició
clips/lead-yt-033__44__administraci.wav	11.240	-36.59	0.1053	1687.2	125.0	0.4964	descriptor instrumental; pendent d'audició
clips/lead-yt-033__45__ciutadania.wav	8.600	-41.99	0.1028	1602.8	118.1	0.4196	descriptor instrumental; pendent d'audició
clips/lead-yt-033__46__comunitat-internacional.wav	10.400	-36.96	0.1028	1393.6	115.9	0.4923	descriptor instrumental; pendent d'audició
clips/lead-yt-033__47__grup-parlamentari.wav	7.400	-37.72	0.0927	1471.9	120.3	0.4864	descriptor instrumental; pendent d'audició
clips/lead-yt-033__48__llei.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
clips/lead-yt-033__49__cambra.wav	12.000	-36.42	0.0952	1437.0	121.2	0.5017	descriptor instrumental; pendent d'audició
clips/lead-yt-033__51__dem-crates.wav	9.000	-33.34	0.1078	1638.5	120.3	0.5579	descriptor instrumental; pendent d'audició
clips/lead-yt-033__52__tercera-via.wav	9.960	-30.27	0.0802	1202.2	117.6	0.6569	descriptor instrumental; pendent d'audició
clips/lead-yt-033__57__serveis.wav	6.960	-35.21	0.0877	1522.9	130.1	0.5274	descriptor instrumental; pendent d'audició
clips/lead-yt-033__58__infraestructures.wav	6.960	-35.21	0.0877	1522.9	130.1	0.5274	descriptor instrumental; pendent d'audició
clips/lead-yt-033__60__interventors.wav	7.000	-32.73	0.0952	1554.9	134.5	0.5702	descriptor instrumental; pendent d'audició
clips/lead-yt-033__61__despesa.wav	9.200	-33.28	0.0927	1515.9	125.0	0.5686	descriptor instrumental; pendent d'audició
clips/lead-yt-033__62__tribut-ria.wav	6.880	-35.78	0.1090	1568.7	116.8	0.5117	descriptor instrumental; pendent d'audició
clips/lead-yt-033__63__endeutament.wav	9.200	-33.28	0.0927	1515.9	125.0	0.5686	descriptor instrumental; pendent d'audició
clips/lead-yt-033__64__pressupost-ria.wav	11.000	-34.02	0.1128	1710.6	115.9	0.5392	descriptor instrumental; pendent d'audició
