candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-033-david-montane	bé	clips/lead-yt-033__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	clar	clips/lead-yt-033__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	doncs	clips/lead-yt-033__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	és a dir	clips/lead-yt-033__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	comunals	clips/lead-yt-033__27__comunals.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	comuns	clips/lead-yt-033__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	finances públiques	clips/lead-yt-033__37__finances-p-bliques.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	sostenibilitat	clips/lead-yt-033__38__sostenibilitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	estabilitat	clips/lead-yt-033__39__estabilitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	fiscal	clips/lead-yt-033__40__fiscal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	govern	clips/lead-yt-033__41__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	deute	clips/lead-yt-033__42__deute.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	inversió	clips/lead-yt-033__43__inversi.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	administració	clips/lead-yt-033__44__administraci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	ciutadania	clips/lead-yt-033__45__ciutadania.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	comunitat internacional	clips/lead-yt-033__46__comunitat-internacional.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	grup parlamentari	clips/lead-yt-033__47__grup-parlamentari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	llei	clips/lead-yt-033__48__llei.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	cambra	clips/lead-yt-033__49__cambra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	demòcrates	clips/lead-yt-033__51__dem-crates.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	Tercera Via	clips/lead-yt-033__52__tercera-via.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	serveis	clips/lead-yt-033__57__serveis.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	infraestructures	clips/lead-yt-033__58__infraestructures.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	interventors	clips/lead-yt-033__60__interventors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	despesa	clips/lead-yt-033__61__despesa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	tributària	clips/lead-yt-033__62__tribut-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	endeutament	clips/lead-yt-033__63__endeutament.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-033-david-montane	pressupostària	clips/lead-yt-033__64__pressupost-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
