clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-034__01__a-nivell.wav	7.960	-34.21	0.0752	1207.9	84.2	0.5680	descriptor instrumental; pendent d'audició
clips/lead-yt-034__02__a-veure.wav	7.760	-27.07	0.0852	1344.9	200.0	0.7597	descriptor instrumental; pendent d'audició
clips/lead-yt-034__06__b.wav	6.280	-31.21	0.0702	1190.5	82.9	0.6246	descriptor instrumental; pendent d'audició
clips/lead-yt-034__07__clar.wav	7.600	-28.78	0.0977	1414.1	170.2	0.7216	descriptor instrumental; pendent d'audició
clips/lead-yt-034__10__doncs.wav	7.840	-34.94	0.0764	1340.7	73.7	0.5512	descriptor instrumental; pendent d'audició
clips/lead-yt-034__11__evidentment.wav	7.720	-40.26	0.0902	1555.3	88.9	0.4416	descriptor instrumental; pendent d'audició
clips/lead-yt-034__13__no.wav	6.400	-34.38	0.0852	1331.0	91.4	0.5502	descriptor instrumental; pendent d'audició
clips/lead-yt-034__15__per-tant.wav	7.600	-33.01	0.0802	1225.8	85.8	0.5871	descriptor instrumental; pendent d'audició
clips/lead-yt-034__16__perqu.wav	5.840	-38.96	0.1178	1905.6	90.9	0.4416	descriptor instrumental; pendent d'audició
clips/lead-yt-034__18__s-a-dir.wav	7.880	-29.26	0.0952	1422.2	179.8	0.7112	descriptor instrumental; pendent d'audició
clips/lead-yt-034__25__andorrana.wav	8.320	-40.85	0.1103	1826.6	83.8	0.3940	descriptor instrumental; pendent d'audició
clips/lead-yt-034__30__copr-ncep.wav	5.800	-26.74	0.0852	1329.8	195.1	0.7578	descriptor instrumental; pendent d'audició
clips/lead-yt-034__36__transpar-ncia.wav	9.840	-27.59	0.1278	1517.5	183.9	0.7525	descriptor instrumental; pendent d'audició
clips/lead-yt-034__37__obertura-econ-mica.wav	6.840	-26.56	0.1028	1397.8	183.9	0.7962	descriptor instrumental; pendent d'audició
clips/lead-yt-034__38__sistema-fiscal.wav	6.600	-26.36	0.0952	1393.7	195.1	0.8055	descriptor instrumental; pendent d'audició
clips/lead-yt-034__39__impostos.wav	5.360	-34.40	0.0852	1301.2	86.5	0.5599	descriptor instrumental; pendent d'audició
clips/lead-yt-034__41__comunitat-internacional.wav	5.720	-29.81	0.0702	1082.6	74.1	0.7123	descriptor instrumental; pendent d'audició
clips/lead-yt-034__42__blanqueig-de-diners.wav	8.000	-34.59	0.0627	1122.4	74.1	0.5602	descriptor instrumental; pendent d'audició
clips/lead-yt-034__43__terrorisme.wav	5.640	-33.19	0.0752	1248.2	89.9	0.6299	descriptor instrumental; pendent d'audició
clips/lead-yt-034__45__banca.wav	7.240	-35.35	0.0727	1182.9	76.6	0.5180	descriptor instrumental; pendent d'audició
clips/lead-yt-034__46__solv-ncia.wav	8.640	-33.80	0.0752	1278.2	77.3	0.5754	descriptor instrumental; pendent d'audició
clips/lead-yt-034__47__uni-europea.wav	6.680	-33.69	0.0727	1163.6	82.1	0.5631	descriptor instrumental; pendent d'audició
clips/lead-yt-034__49__joventut.wav	6.640	-33.83	0.1003	1472.5	87.9	0.5589	descriptor instrumental; pendent d'audició
clips/lead-yt-034__50__aeroport.wav	7.520	-31.55	0.0627	1037.9	84.7	0.6373	descriptor instrumental; pendent d'audició
clips/lead-yt-034__52__catalunya.wav	6.400	-38.29	0.1028	1469.6	102.6	0.4687	descriptor instrumental; pendent d'audició
clips/lead-yt-034__53__espanya.wav	6.200	-33.82	0.0764	1299.3	84.2	0.5599	descriptor instrumental; pendent d'audició
clips/lead-yt-034__54__andorra.wav	8.040	-29.62	0.1353	1555.2	195.1	0.6895	descriptor instrumental; pendent d'audició
clips/lead-yt-034__56__catal.wav	7.480	-28.87	0.1278	1568.2	188.2	0.6850	descriptor instrumental; pendent d'audició
clips/lead-yt-034__57__govern.wav	4.680	-25.55	0.0952	1399.9	195.1	0.8069	descriptor instrumental; pendent d'audició
clips/lead-yt-034__58__empreses.wav	8.000	-36.20	0.0677	1167.5	75.7	0.5038	descriptor instrumental; pendent d'audició
clips/lead-yt-034__60__constituci.wav	8.320	-40.85	0.1103	1826.6	83.8	0.3940	descriptor instrumental; pendent d'audició
clips/lead-yt-034__63__territori.wav	6.200	-33.70	0.0677	1215.6	76.7	0.5874	descriptor instrumental; pendent d'audició
clips/lead-yt-034__66__reforma.wav	7.240	-25.49	0.1078	1510.5	195.1	0.7230	descriptor instrumental; pendent d'audició
