candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-034-antoni-marti	a nivell	clips/lead-yt-034__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	a veure	clips/lead-yt-034__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	bé	clips/lead-yt-034__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	clar	clips/lead-yt-034__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	doncs	clips/lead-yt-034__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	evidentment	clips/lead-yt-034__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	no?	clips/lead-yt-034__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	per tant	clips/lead-yt-034__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	perquè	clips/lead-yt-034__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	és a dir	clips/lead-yt-034__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	andorrana	clips/lead-yt-034__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	copríncep	clips/lead-yt-034__30__copr-ncep.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	transparència	clips/lead-yt-034__36__transpar-ncia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	obertura econòmica	clips/lead-yt-034__37__obertura-econ-mica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	sistema fiscal	clips/lead-yt-034__38__sistema-fiscal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	impostos	clips/lead-yt-034__39__impostos.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	comunitat internacional	clips/lead-yt-034__41__comunitat-internacional.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	blanqueig de diners	clips/lead-yt-034__42__blanqueig-de-diners.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	terrorisme	clips/lead-yt-034__43__terrorisme.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	banca	clips/lead-yt-034__45__banca.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	solvència	clips/lead-yt-034__46__solv-ncia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	Unió Europea	clips/lead-yt-034__47__uni-europea.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	joventut	clips/lead-yt-034__49__joventut.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	aeroport	clips/lead-yt-034__50__aeroport.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	Catalunya	clips/lead-yt-034__52__catalunya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	Espanya	clips/lead-yt-034__53__espanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	Andorra	clips/lead-yt-034__54__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	català	clips/lead-yt-034__56__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	govern	clips/lead-yt-034__57__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	empreses	clips/lead-yt-034__58__empreses.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	constitució	clips/lead-yt-034__60__constituci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	territori	clips/lead-yt-034__63__territori.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-034-antoni-marti	reforma	clips/lead-yt-034__66__reforma.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
