clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-035__01__a-nivell.wav	9.520	-26.66	0.1328	1648.1	121.2	0.7316	descriptor instrumental; pendent d'audició
clips/lead-yt-035__02__a-veure.wav	7.960	-31.28	0.0852	1374.5	120.8	0.6637	descriptor instrumental; pendent d'audició
clips/lead-yt-035__03__aleshores.wav	7.840	-32.17	0.0852	1416.0	160.0	0.5818	descriptor instrumental; pendent d'audició
clips/lead-yt-035__05__bueno.wav	6.960	-22.90	0.0551	826.7	114.3	0.8256	descriptor instrumental; pendent d'audició
clips/lead-yt-035__06__b.wav	8.040	-26.55	0.0602	959.1	134.5	0.7082	descriptor instrumental; pendent d'audició
clips/lead-yt-035__07__clar.wav	6.480	-29.97	0.1040	1405.3	258.1	0.6950	descriptor instrumental; pendent d'audició
clips/lead-yt-035__08__de-fet.wav	9.800	-31.79	0.0677	954.3	116.4	0.5920	descriptor instrumental; pendent d'audició
clips/lead-yt-035__10__doncs.wav	6.920	-34.30	0.0952	1328.7	130.1	0.5594	descriptor instrumental; pendent d'audició
clips/lead-yt-035__11__evidentment.wav	10.000	-34.86	0.1153	1603.2	280.7	0.5711	descriptor instrumental; pendent d'audició
clips/lead-yt-035__12__llavors.wav	11.560	-33.56	0.0627	876.4	131.7	0.6031	descriptor instrumental; pendent d'audició
clips/lead-yt-035__13__no.wav	6.120	-32.90	0.0576	878.9	109.6	0.5852	descriptor instrumental; pendent d'audició
clips/lead-yt-035__15__per-tant.wav	8.400	-39.66	0.0464	748.5	144.1	0.4308	descriptor instrumental; pendent d'audició
clips/lead-yt-035__16__perqu.wav	6.960	-31.95	0.1203	1612.8	137.3	0.6484	descriptor instrumental; pendent d'audició
clips/lead-yt-035__17__vull-dir.wav	9.000	-30.51	0.0602	815.8	115.1	0.6481	descriptor instrumental; pendent d'audició
clips/lead-yt-035__18__s-a-dir.wav	9.520	-26.66	0.1328	1648.1	121.2	0.7316	descriptor instrumental; pendent d'audició
clips/lead-yt-035__20__escaldes.wav	11.160	-28.67	0.1003	1358.3	131.1	0.6822	descriptor instrumental; pendent d'audició
clips/lead-yt-035__25__andorrana.wav	7.800	-28.53	0.0627	985.7	126.0	0.7082	descriptor instrumental; pendent d'audició
clips/lead-yt-035__27__comunals.wav	8.680	-31.45	0.1053	1495.2	148.1	0.6836	descriptor instrumental; pendent d'audició
clips/lead-yt-035__28__comuns.wav	6.480	-28.28	0.1028	1341.0	131.1	0.7678	descriptor instrumental; pendent d'audició
clips/lead-yt-035__29__com.wav	8.200	-32.06	0.0652	968.9	144.1	0.6491	descriptor instrumental; pendent d'audició
clips/lead-yt-035__30__copr-ncep.wav	7.000	-30.66	0.0940	1370.0	266.7	0.7221	descriptor instrumental; pendent d'audició
clips/lead-yt-035__33__parr-quia.wav	8.480	-28.84	0.0827	1269.4	271.2	0.7364	descriptor instrumental; pendent d'audició
clips/lead-yt-035__37__conc-rdia.wav	8.320	-33.43	0.0627	954.8	123.1	0.6120	descriptor instrumental; pendent d'audició
clips/lead-yt-035__38__eleccions.wav	6.480	-36.10	0.0576	811.2	139.1	0.5062	descriptor instrumental; pendent d'audició
clips/lead-yt-035__39__consell-general.wav	6.480	-36.10	0.0576	811.2	139.1	0.5062	descriptor instrumental; pendent d'audició
clips/lead-yt-035__40__pol-tica.wav	6.320	-27.29	0.1040	1462.1	141.6	0.7778	descriptor instrumental; pendent d'audició
clips/lead-yt-035__41__banc-mundial.wav	7.880	-26.62	0.1078	1368.1	146.8	0.8181	descriptor instrumental; pendent d'audició
clips/lead-yt-035__42__nacions-unides.wav	6.200	-41.99	0.0426	744.2	149.5	0.3528	descriptor instrumental; pendent d'audició
clips/lead-yt-035__43__sierra-leone.wav	8.400	-27.77	0.1003	1469.0	258.1	0.7315	descriptor instrumental; pendent d'audició
