candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-036-xavier-espot	a veure	clips/lead-yt-036__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	bé	clips/lead-yt-036__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	clar	clips/lead-yt-036__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	de fet	clips/lead-yt-036__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	diguem	clips/lead-yt-036__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	doncs	clips/lead-yt-036__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	evidentment	clips/lead-yt-036__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	no?	clips/lead-yt-036__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	o sigui	clips/lead-yt-036__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	per tant	clips/lead-yt-036__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	perquè	clips/lead-yt-036__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	és a dir	clips/lead-yt-036__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Ordino	clips/lead-yt-036__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Sant Julià	clips/lead-yt-036__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	comuns	clips/lead-yt-036__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	comú	clips/lead-yt-036__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	parròquia	clips/lead-yt-036__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Demòcrates	clips/lead-yt-036__36__dem-crates.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	habitatge	clips/lead-yt-036__37__habitatge.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	lloguer	clips/lead-yt-036__39__lloguer.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	poder adquisitiu	clips/lead-yt-036__40__poder-adquisitiu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	creixement urbanístic	clips/lead-yt-036__41__creixement-urban-stic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Museu Nacional	clips/lead-yt-036__42__museu-nacional.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	cultura	clips/lead-yt-036__43__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	justícia	clips/lead-yt-036__44__just-cia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	medi ambient	clips/lead-yt-036__45__medi-ambient.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Unió Europea	clips/lead-yt-036__47__uni-europea.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	acord d'associació	clips/lead-yt-036__48__acord-d-associaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	França	clips/lead-yt-036__49__fran-a.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Espanya	clips/lead-yt-036__50__espanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	pandèmia	clips/lead-yt-036__51__pand-mia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	inversions	clips/lead-yt-036__52__inversions.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	ciutadans	clips/lead-yt-036__53__ciutadans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	Andorra	clips/lead-yt-036__54__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	construcció	clips/lead-yt-036__63__construcci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	sostenibilitat	clips/lead-yt-036__64__sostenibilitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	fiscal	clips/lead-yt-036__66__fiscal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	relat nacional	clips/lead-yt-036__68__relat-nacional.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-036-xavier-espot	serveis	clips/lead-yt-036__69__serveis.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
