clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-037__01__a-nivell.wav	9.800	-29.19	0.0652	861.9	121.2	0.6728	descriptor instrumental; pendent d'audició
clips/lead-yt-037__02__a-veure.wav	20.000	-27.10	0.0677	903.2	107.4	0.7588	descriptor instrumental; pendent d'audició
clips/lead-yt-037__05__bueno.wav	9.880	-31.12	0.0752	941.0	98.8	0.6339	descriptor instrumental; pendent d'audició
clips/lead-yt-037__06__b.wav	5.640	-28.16	0.0727	884.3	111.9	0.7491	descriptor instrumental; pendent d'audició
clips/lead-yt-037__10__doncs.wav	5.640	-28.16	0.0727	884.3	111.9	0.7491	descriptor instrumental; pendent d'audició
clips/lead-yt-037__11__evidentment.wav	9.800	-28.83	0.0677	875.7	103.9	0.7321	descriptor instrumental; pendent d'audició
clips/lead-yt-037__12__llavors.wav	10.000	-28.48	0.0677	885.6	103.2	0.6854	descriptor instrumental; pendent d'audició
clips/lead-yt-037__14__o-sigui.wav	9.040	-25.18	0.0627	819.1	137.9	0.7816	descriptor instrumental; pendent d'audició
clips/lead-yt-037__15__per-tant.wav	10.680	-27.79	0.0752	929.8	100.6	0.7533	descriptor instrumental; pendent d'audició
clips/lead-yt-037__16__perqu.wav	10.560	-30.30	0.0752	932.9	107.4	0.6736	descriptor instrumental; pendent d'audició
clips/lead-yt-037__18__s-a-dir.wav	8.800	-29.35	0.0677	921.0	109.6	0.6287	descriptor instrumental; pendent d'audició
clips/lead-yt-037__29__com.wav	11.800	-27.27	0.0677	794.3	101.9	0.7912	descriptor instrumental; pendent d'audició
clips/lead-yt-037__39__cap-de-govern.wav	9.400	-30.78	0.0702	893.1	93.0	0.6695	descriptor instrumental; pendent d'audició
clips/lead-yt-037__40__govern.wav	9.400	-30.78	0.0702	893.1	93.0	0.6695	descriptor instrumental; pendent d'audició
clips/lead-yt-037__41__andorra.wav	11.800	-27.27	0.0677	794.3	101.9	0.7912	descriptor instrumental; pendent d'audició
clips/lead-yt-037__43__solidaritat.wav	12.600	-29.19	0.0702	857.8	96.4	0.7083	descriptor instrumental; pendent d'audició
clips/lead-yt-037__47__pont.wav	12.000	-27.34	0.0702	876.8	112.7	0.6778	descriptor instrumental; pendent d'audició
clips/lead-yt-037__48__riu.wav	23.000	-28.17	0.0677	875.3	101.9	0.7002	descriptor instrumental; pendent d'audició
clips/lead-yt-037__49__aigua.wav	10.800	-27.46	0.0602	826.4	126.5	0.7245	descriptor instrumental; pendent d'audició
clips/lead-yt-037__57__territori.wav	7.400	-26.84	0.0677	803.1	110.3	0.7900	descriptor instrumental; pendent d'audició
clips/lead-yt-037__59__ajuda.wav	10.680	-29.22	0.0652	876.8	132.8	0.6848	descriptor instrumental; pendent d'audició
clips/lead-yt-037__62__helic-pter.wav	11.200	-28.54	0.0702	873.6	99.4	0.6780	descriptor instrumental; pendent d'audició
clips/lead-yt-037__63__bombers.wav	8.840	-28.27	0.0702	875.4	104.6	0.6531	descriptor instrumental; pendent d'audició
clips/lead-yt-037__65__voluntari.wav	12.000	-31.22	0.0677	743.5	92.5	0.6377	descriptor instrumental; pendent d'audició
clips/lead-yt-037__67__comunicacions.wav	8.680	-31.54	0.0802	915.0	123.1	0.6409	descriptor instrumental; pendent d'audició
clips/lead-yt-037__68__su-ssa.wav	10.600	-30.07	0.0802	934.5	107.4	0.6181	descriptor instrumental; pendent d'audició
clips/lead-yt-037__69__catalunya.wav	8.920	-28.80	0.0677	838.6	89.9	0.6865	descriptor instrumental; pendent d'audició
clips/lead-yt-037__70__fran-a.wav	9.040	-25.18	0.0627	819.1	137.9	0.7816	descriptor instrumental; pendent d'audició
clips/lead-yt-037__71__120-litres.wav	8.560	-29.45	0.0652	807.7	113.5	0.6569	descriptor instrumental; pendent d'audició
