candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-037-oscar-ribas	a nivell	clips/lead-yt-037__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	a veure	clips/lead-yt-037__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	bueno	clips/lead-yt-037__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	bé	clips/lead-yt-037__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	doncs	clips/lead-yt-037__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	evidentment	clips/lead-yt-037__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	llavors	clips/lead-yt-037__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	o sigui	clips/lead-yt-037__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	per tant	clips/lead-yt-037__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	perquè	clips/lead-yt-037__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	és a dir	clips/lead-yt-037__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	comú	clips/lead-yt-037__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	Cap de Govern	clips/lead-yt-037__39__cap-de-govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	govern	clips/lead-yt-037__40__govern.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	Andorra	clips/lead-yt-037__41__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	solidaritat	clips/lead-yt-037__43__solidaritat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	pont	clips/lead-yt-037__47__pont.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	riu	clips/lead-yt-037__48__riu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	aigua	clips/lead-yt-037__49__aigua.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	territori	clips/lead-yt-037__57__territori.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	ajuda	clips/lead-yt-037__59__ajuda.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	helicòpter	clips/lead-yt-037__62__helic-pter.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	bombers	clips/lead-yt-037__63__bombers.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	voluntari	clips/lead-yt-037__65__voluntari.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	comunicacions	clips/lead-yt-037__67__comunicacions.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	Suïssa	clips/lead-yt-037__68__su-ssa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	Catalunya	clips/lead-yt-037__69__catalunya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	França	clips/lead-yt-037__70__fran-a.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-037-oscar-ribas	120 litres	clips/lead-yt-037__71__120-litres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
