candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-038-conxita-marsol	bueno	clips/lead-yt-038__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	bé	clips/lead-yt-038__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	doncs	clips/lead-yt-038__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	no?	clips/lead-yt-038__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	per tant	clips/lead-yt-038__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	perquè	clips/lead-yt-038__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	comú	clips/lead-yt-038__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	presidenta	clips/lead-yt-038__41__presidenta.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	ministra	clips/lead-yt-038__43__ministra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	política	clips/lead-yt-038__45__pol-tica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	família	clips/lead-yt-038__53__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-038-conxita-marsol	Andorra	clips/lead-yt-038__59__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
