clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-039__01__a-nivell.wav	7.640	-34.46	0.0927	1275.5	203.8	0.5696	descriptor instrumental; pendent d'audició
clips/lead-yt-039__02__a-veure.wav	7.040	-30.25	0.0877	1102.2	202.5	0.6738	descriptor instrumental; pendent d'audició
clips/lead-yt-039__03__aleshores.wav	9.960	-43.25	0.1228	1963.8	210.5	0.4256	descriptor instrumental; pendent d'audició
clips/lead-yt-039__05__bueno.wav	6.960	-31.16	0.1078	1267.9	228.6	0.5937	descriptor instrumental; pendent d'audició
clips/lead-yt-039__06__b.wav	7.760	-34.95	0.0752	976.5	197.5	0.5801	descriptor instrumental; pendent d'audició
clips/lead-yt-039__07__clar.wav	7.920	-37.66	0.1103	1423.1	195.1	0.4797	descriptor instrumental; pendent d'audició
clips/lead-yt-039__08__de-fet.wav	7.040	-30.25	0.0877	1102.2	202.5	0.6738	descriptor instrumental; pendent d'audició
clips/lead-yt-039__10__doncs.wav	6.520	-33.15	0.1053	1219.2	235.3	0.5800	descriptor instrumental; pendent d'audició
clips/lead-yt-039__11__evidentment.wav	6.000	-39.44	0.0752	984.3	160.0	0.3930	descriptor instrumental; pendent d'audició
clips/lead-yt-039__12__llavors.wav	8.560	-32.99	0.1003	1330.2	213.3	0.6112	descriptor instrumental; pendent d'audició
clips/lead-yt-039__13__no.wav	7.360	-31.18	0.1178	1419.9	181.8	0.6580	descriptor instrumental; pendent d'audició
clips/lead-yt-039__14__o-sigui.wav	6.320	-35.94	0.0852	1413.4	222.2	0.5190	descriptor instrumental; pendent d'audició
clips/lead-yt-039__15__per-tant.wav	8.320	-31.96	0.0977	1203.6	190.5	0.6482	descriptor instrumental; pendent d'audició
clips/lead-yt-039__16__perqu.wav	5.960	-30.24	0.0852	1112.2	197.5	0.7256	descriptor instrumental; pendent d'audició
clips/lead-yt-039__17__vull-dir.wav	6.520	-37.44	0.0852	1188.6	141.0	0.4431	descriptor instrumental; pendent d'audició
clips/lead-yt-039__25__andorrana.wav	7.600	-30.57	0.1028	1162.7	188.2	0.7164	descriptor instrumental; pendent d'audició
clips/lead-yt-039__36__eurovisi.wav	7.240	-30.84	0.1103	1276.9	222.2	0.6579	descriptor instrumental; pendent d'audició
clips/lead-yt-039__37__eurovision.wav	6.560	-29.23	0.1153	1333.8	200.0	0.7171	descriptor instrumental; pendent d'audició
