candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-039-marta-roure	a nivell	clips/lead-yt-039__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	a veure	clips/lead-yt-039__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	aleshores	clips/lead-yt-039__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	bueno	clips/lead-yt-039__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	bé	clips/lead-yt-039__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	clar	clips/lead-yt-039__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	de fet	clips/lead-yt-039__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	doncs	clips/lead-yt-039__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	evidentment	clips/lead-yt-039__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	llavors	clips/lead-yt-039__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	no?	clips/lead-yt-039__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	o sigui	clips/lead-yt-039__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	per tant	clips/lead-yt-039__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	perquè	clips/lead-yt-039__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	vull dir	clips/lead-yt-039__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	andorrana	clips/lead-yt-039__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Eurovisió	clips/lead-yt-039__36__eurovisi.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Eurovision	clips/lead-yt-039__37__eurovision.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	cantant	clips/lead-yt-039__39__cantant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	cançó	clips/lead-yt-039__40__can.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	català	clips/lead-yt-039__41__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	llengua	clips/lead-yt-039__42__llengua.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	idioma	clips/lead-yt-039__43__idioma.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Andorra	clips/lead-yt-039__44__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	andorrans	clips/lead-yt-039__46__andorrans.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	andorranes	clips/lead-yt-039__47__andorranes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	representant	clips/lead-yt-039__48__representant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	festival	clips/lead-yt-039__49__festival.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	TV3	clips/lead-yt-039__50__tv3.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	televisió	clips/lead-yt-039__51__televisi.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Istanbul	clips/lead-yt-039__52__istanbul.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Turquia	clips/lead-yt-039__53__turquia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	Catalunya	clips/lead-yt-039__54__catalunya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	francès	clips/lead-yt-039__55__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-039-marta-roure	castellà	clips/lead-yt-039__56__castell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
