candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-040-guillem-forne	a nivell	clips/lead-yt-040__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	a veure	clips/lead-yt-040__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	aviam	clips/lead-yt-040__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	bueno	clips/lead-yt-040__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	bé	clips/lead-yt-040__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	clar	clips/lead-yt-040__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	de fet	clips/lead-yt-040__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	diguem	clips/lead-yt-040__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	doncs	clips/lead-yt-040__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	llavors	clips/lead-yt-040__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	no?	clips/lead-yt-040__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	o sigui	clips/lead-yt-040__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	perquè	clips/lead-yt-040__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	vull dir	clips/lead-yt-040__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	és a dir	clips/lead-yt-040__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	Massana	clips/lead-yt-040__21__massana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	Ordino	clips/lead-yt-040__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	Sant Julià	clips/lead-yt-040__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	comú	clips/lead-yt-040__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	parròquia	clips/lead-yt-040__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	Guillem Forné	clips/lead-yt-040__36__guillem-forn.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	La Massana	clips/lead-yt-040__37__la-massana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-040-guillem-forne	conseller	clips/lead-yt-040__38__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
