clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-041__02__a-veure.wav	6.400	-29.69	0.0551	1103.9	202.5	0.6614	descriptor instrumental; pendent d'audició
clips/lead-yt-041__03__aleshores.wav	9.760	-31.28	0.0702	1231.0	181.8	0.6520	descriptor instrumental; pendent d'audició
clips/lead-yt-041__05__bueno.wav	9.760	-31.28	0.0702	1231.0	181.8	0.6520	descriptor instrumental; pendent d'audició
clips/lead-yt-041__06__b.wav	6.560	-30.60	0.0677	1194.6	207.8	0.5856	descriptor instrumental; pendent d'audició
clips/lead-yt-041__10__doncs.wav	6.880	-29.38	0.0727	1205.1	192.8	0.6166	descriptor instrumental; pendent d'audició
clips/lead-yt-041__12__llavors.wav	6.960	-28.31	0.0614	1177.0	222.2	0.6816	descriptor instrumental; pendent d'audició
clips/lead-yt-041__13__no.wav	7.200	-29.66	0.0702	1081.6	202.5	0.6086	descriptor instrumental; pendent d'audició
clips/lead-yt-041__14__o-sigui.wav	7.480	-32.91	0.0702	1183.9	213.3	0.5724	descriptor instrumental; pendent d'audició
clips/lead-yt-041__16__perqu.wav	6.600	-36.82	0.0727	1252.2	179.8	0.4848	descriptor instrumental; pendent d'audició
clips/lead-yt-041__17__vull-dir.wav	5.640	-43.54	0.0927	1564.8	186.0	0.4395	descriptor instrumental; pendent d'audició
clips/lead-yt-041__18__s-a-dir.wav	7.560	-42.76	0.0827	1366.2	192.8	0.4297	descriptor instrumental; pendent d'audició
clips/lead-yt-041__20__escaldes.wav	6.360	-27.81	0.0627	1061.2	213.3	0.6909	descriptor instrumental; pendent d'audició
clips/lead-yt-041__61__botiga.wav	9.080	-52.64	0.0902	1509.8	188.2	0.3985	descriptor instrumental; pendent d'audició
