candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-041-guillem-areny	a veure	clips/lead-yt-041__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	aleshores	clips/lead-yt-041__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	bueno	clips/lead-yt-041__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	bé	clips/lead-yt-041__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	doncs	clips/lead-yt-041__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	llavors	clips/lead-yt-041__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	no?	clips/lead-yt-041__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	o sigui	clips/lead-yt-041__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	perquè	clips/lead-yt-041__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	vull dir	clips/lead-yt-041__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	és a dir	clips/lead-yt-041__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	Escaldes	clips/lead-yt-041__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-041-guillem-areny	botiga	clips/lead-yt-041__61__botiga.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
