candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-042-andreu-gonzalez	a nivell	clips/lead-yt-042__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	a veure	clips/lead-yt-042__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	bueno	clips/lead-yt-042__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	bé	clips/lead-yt-042__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	clar	clips/lead-yt-042__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	de fet	clips/lead-yt-042__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	doncs	clips/lead-yt-042__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	evidentment	clips/lead-yt-042__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	llavors	clips/lead-yt-042__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	no?	clips/lead-yt-042__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	o sigui	clips/lead-yt-042__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	per tant	clips/lead-yt-042__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	perquè	clips/lead-yt-042__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	és a dir	clips/lead-yt-042__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	natura	clips/lead-yt-042__37__natura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	ecologista	clips/lead-yt-042__38__ecologista.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	planeta	clips/lead-yt-042__39__planeta.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	bosc	clips/lead-yt-042__40__bosc.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	boscos	clips/lead-yt-042__41__boscos.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	muntanya	clips/lead-yt-042__42__muntanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	Andorra	clips/lead-yt-042__46__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	Bosc	clips/lead-yt-042__49__bosc.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	conservació	clips/lead-yt-042__50__conservaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	canvi climàtic	clips/lead-yt-042__52__canvi-clim-tic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-042-andreu-gonzalez	Pirineus	clips/lead-yt-042__56__pirineus.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
