candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-043-oriol-agorreta	a veure	clips/lead-yt-043__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	bueno	clips/lead-yt-043__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	bé	clips/lead-yt-043__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	clar	clips/lead-yt-043__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	de fet	clips/lead-yt-043__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	diguem	clips/lead-yt-043__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	doncs	clips/lead-yt-043__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	evidentment	clips/lead-yt-043__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	llavors	clips/lead-yt-043__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	no?	clips/lead-yt-043__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	per tant	clips/lead-yt-043__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	perquè	clips/lead-yt-043__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	és a dir	clips/lead-yt-043__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	joier	clips/lead-yt-043__36__joier.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	òpera	clips/lead-yt-043__37__pera.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	contes	clips/lead-yt-043__39__contes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	escriure	clips/lead-yt-043__40__escriure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	escriptor	clips/lead-yt-043__41__escriptor.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	música	clips/lead-yt-043__42__m-sica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	teatre	clips/lead-yt-043__43__teatre.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	art	clips/lead-yt-043__44__art.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	Andorra	clips/lead-yt-043__48__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-043-oriol-agorreta	creativitat	clips/lead-yt-043__55__creativitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
