candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-044-laura-casanovas	a veure	clips/lead-yt-044__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	bueno	clips/lead-yt-044__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	bé	clips/lead-yt-044__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	clar	clips/lead-yt-044__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	de fet	clips/lead-yt-044__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	diguem	clips/lead-yt-044__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	doncs	clips/lead-yt-044__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	llavors	clips/lead-yt-044__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	no?	clips/lead-yt-044__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	per tant	clips/lead-yt-044__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	perquè	clips/lead-yt-044__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	vull dir	clips/lead-yt-044__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	és a dir	clips/lead-yt-044__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	Canillo	clips/lead-yt-044__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	Escaldes	clips/lead-yt-044__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	parròquia	clips/lead-yt-044__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	escriptora	clips/lead-yt-044__36__escriptora.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	escriure	clips/lead-yt-044__37__escriure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	contes	clips/lead-yt-044__39__contes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	novel·la	clips/lead-yt-044__40__novel-la.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	llibres	clips/lead-yt-044__41__llibres.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	lectura	clips/lead-yt-044__42__lectura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	premi	clips/lead-yt-044__44__premi.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	personatges	clips/lead-yt-044__46__personatges.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	Andorra	clips/lead-yt-044__48__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	Pirineus	clips/lead-yt-044__50__pirineus.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	editorial	clips/lead-yt-044__51__editorial.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-044-laura-casanovas	català	clips/lead-yt-044__55__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
