clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-045__01__a-nivell.wav	8.760	-25.21	0.1053	1231.6	115.9	0.7746	descriptor instrumental; pendent d'audició
clips/lead-yt-045__02__a-veure.wav	6.880	-33.62	0.1629	1998.4	132.2	0.5437	descriptor instrumental; pendent d'audició
clips/lead-yt-045__05__bueno.wav	9.000	-25.95	0.0902	1440.1	133.3	0.7840	descriptor instrumental; pendent d'audició
clips/lead-yt-045__06__b.wav	7.920	-26.56	0.1028	1407.8	113.9	0.7380	descriptor instrumental; pendent d'audició
clips/lead-yt-045__07__clar.wav	7.720	-25.03	0.1128	1522.8	114.3	0.8182	descriptor instrumental; pendent d'audició
clips/lead-yt-045__08__de-fet.wav	8.880	-24.36	0.1178	1308.4	140.4	0.8104	descriptor instrumental; pendent d'audició
clips/lead-yt-045__10__doncs.wav	7.920	-26.56	0.1028	1407.8	113.9	0.7380	descriptor instrumental; pendent d'audició
clips/lead-yt-045__12__llavors.wav	7.840	-24.85	0.1053	1207.7	121.7	0.7353	descriptor instrumental; pendent d'audició
clips/lead-yt-045__13__no.wav	7.680	-27.41	0.0827	1112.8	121.7	0.7637	descriptor instrumental; pendent d'audició
clips/lead-yt-045__14__o-sigui.wav	8.080	-25.88	0.1128	1401.1	138.5	0.6998	descriptor instrumental; pendent d'audició
clips/lead-yt-045__15__per-tant.wav	8.280	-32.67	0.1253	1747.8	122.1	0.5436	descriptor instrumental; pendent d'audició
clips/lead-yt-045__16__perqu.wav	15.000	-30.90	0.0902	1583.3	130.1	0.5754	descriptor instrumental; pendent d'audició
clips/lead-yt-045__17__vull-dir.wav	7.680	-27.41	0.0827	1112.8	121.7	0.7637	descriptor instrumental; pendent d'audició
clips/lead-yt-045__36__arquitecte.wav	8.760	-25.21	0.1053	1231.6	115.9	0.7746	descriptor instrumental; pendent d'audició
clips/lead-yt-045__37__arquitectura.wav	6.000	-23.53	0.0952	1218.1	146.8	0.7876	descriptor instrumental; pendent d'audició
clips/lead-yt-045__38__edifici.wav	6.960	-27.54	0.1078	1315.9	117.2	0.7032	descriptor instrumental; pendent d'audició
clips/lead-yt-045__40__fusta.wav	6.000	-22.75	0.0977	1307.1	153.8	0.8746	descriptor instrumental; pendent d'audició
clips/lead-yt-045__41__obra.wav	11.000	-23.82	0.0977	1222.9	141.6	0.7860	descriptor instrumental; pendent d'audició
clips/lead-yt-045__42__paisatge.wav	9.960	-25.44	0.1178	1289.0	124.0	0.7123	descriptor instrumental; pendent d'audició
clips/lead-yt-045__43__muntanya.wav	6.000	-23.53	0.0952	1218.1	146.8	0.7876	descriptor instrumental; pendent d'audició
clips/lead-yt-045__45__casa.wav	6.520	-29.73	0.1053	1370.8	121.2	0.5554	descriptor instrumental; pendent d'audició
clips/lead-yt-045__49__materials.wav	7.680	-27.41	0.0827	1112.8	121.7	0.7637	descriptor instrumental; pendent d'audició
clips/lead-yt-045__50__disseny.wav	6.000	-23.38	0.0952	1308.8	149.5	0.8227	descriptor instrumental; pendent d'audició
