candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-045-arnau-rius	a nivell	clips/lead-yt-045__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	a veure	clips/lead-yt-045__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	bueno	clips/lead-yt-045__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	bé	clips/lead-yt-045__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	clar	clips/lead-yt-045__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	de fet	clips/lead-yt-045__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	doncs	clips/lead-yt-045__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	llavors	clips/lead-yt-045__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	no?	clips/lead-yt-045__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	o sigui	clips/lead-yt-045__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	per tant	clips/lead-yt-045__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	perquè	clips/lead-yt-045__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	vull dir	clips/lead-yt-045__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	arquitecte	clips/lead-yt-045__36__arquitecte.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	arquitectura	clips/lead-yt-045__37__arquitectura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	edifici	clips/lead-yt-045__38__edifici.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	fusta	clips/lead-yt-045__40__fusta.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	obra	clips/lead-yt-045__41__obra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	paisatge	clips/lead-yt-045__42__paisatge.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	muntanya	clips/lead-yt-045__43__muntanya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	casa	clips/lead-yt-045__45__casa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	materials	clips/lead-yt-045__49__materials.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-045-arnau-rius	disseny	clips/lead-yt-045__50__disseny.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
