clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-046__02__a-veure.wav	6.680	-19.49	0.0802	1347.9	141.6	0.7718	descriptor instrumental; pendent d'audició
clips/lead-yt-046__04__aviam.wav	6.880	-26.76	0.0677	1140.4	116.4	0.7609	descriptor instrumental; pendent d'audició
clips/lead-yt-046__05__bueno.wav	7.400	-23.01	0.0777	1218.7	161.6	0.7710	descriptor instrumental; pendent d'audició
clips/lead-yt-046__06__b.wav	6.000	-34.71	0.0952	1677.5	157.6	0.5151	descriptor instrumental; pendent d'audició
clips/lead-yt-046__07__clar.wav	7.480	-27.80	0.0702	1174.2	145.5	0.6528	descriptor instrumental; pendent d'audició
clips/lead-yt-046__10__doncs.wav	6.680	-37.42	0.0877	1713.1	123.1	0.4910	descriptor instrumental; pendent d'audició
clips/lead-yt-046__11__evidentment.wav	7.880	-23.59	0.0827	1283.6	146.8	0.7226	descriptor instrumental; pendent d'audició
clips/lead-yt-046__12__llavors.wav	9.600	-35.23	0.0902	1565.7	141.6	0.5115	descriptor instrumental; pendent d'audició
clips/lead-yt-046__13__no.wav	7.400	-23.01	0.0777	1218.7	161.6	0.7710	descriptor instrumental; pendent d'audició
clips/lead-yt-046__14__o-sigui.wav	6.920	-30.80	0.0852	1021.7	130.1	0.5957	descriptor instrumental; pendent d'audició
clips/lead-yt-046__16__perqu.wav	6.880	-29.60	0.0702	1117.2	113.5	0.6866	descriptor instrumental; pendent d'audició
clips/lead-yt-046__18__s-a-dir.wav	7.080	-24.71	0.1003	1591.3	164.9	0.7025	descriptor instrumental; pendent d'audició
clips/lead-yt-046__29__com.wav	8.720	-57.13	0.1203	2157.8	148.1	0.3897	descriptor instrumental; pendent d'audició
clips/lead-yt-046__36__ciberseguretat.wav	9.600	-27.34	0.0802	1248.9	136.8	0.7088	descriptor instrumental; pendent d'audició
clips/lead-yt-046__37__seguretat.wav	9.400	-23.81	0.0877	1362.9	141.6	0.7708	descriptor instrumental; pendent d'audició
clips/lead-yt-046__38__internet.wav	18.400	-26.95	0.0677	917.0	144.1	0.6491	descriptor instrumental; pendent d'audició
clips/lead-yt-046__39__xarxes.wav	12.000	-30.38	0.0777	1027.1	146.8	0.5918	descriptor instrumental; pendent d'audició
clips/lead-yt-046__40__dades.wav	27.000	-20.92	0.0802	1312.5	146.8	0.8010	descriptor instrumental; pendent d'audició
clips/lead-yt-046__43__informaci.wav	9.600	-35.23	0.0902	1565.7	141.6	0.5115	descriptor instrumental; pendent d'audició
clips/lead-yt-046__44__policia.wav	27.000	-20.92	0.0802	1312.5	146.8	0.8010	descriptor instrumental; pendent d'audició
clips/lead-yt-046__52__m-bil.wav	14.400	-25.10	0.0777	1290.8	142.9	0.7712	descriptor instrumental; pendent d'audició
